"","ETIHX","VHCIX","CHGCY","TAK","D","EIX","AES","NRG","AMD","AVGO","TXN","CRM","CRWD","ORCL","FTNT","IBM","CSCO","AKAM","SMCI","APO","CME","CBOE","V","PYPL","FI","VRSK","ROST","ULTA","AZO","CMG","NKE","CROX","LVS","TSLA","GM","LYV"
"ETIHX",0.00449628265561165,0.000683795623806649,0.0013670077334287,9.3019769266341e-05,0.000593645200783897,0.00013720899259724,0.00118787381222794,0.000406656229587146,0.00180876165012476,0.000733304685930519,0.000494691412783172,0.00132264144189766,0.00110479912915431,0.000993289180675087,0.000500930873628868,0.000350677784881609,0.000375488429539095,0.000192848897732515,0.000616339097193817,0.00135752383067749,-8.68316060871455e-05,0.000152659173185737,0.000260839548927009,0.0020792469642112,-0.000344184272521452,4.19260188414085e-05,0.000769609103906748,0.000736134511098266,-0.000210240454038782,0.000169676874297186,0.000679583035138898,0.000879690306842775,0.0016511955667581,0.00161044961974516,0.001161081611336,0.00148368939217165
"VHCIX",0.000683795623806649,0.00169908068445658,0.000846094017894372,0.000286041946589936,0.000720452957046733,0.000649415398151901,0.00101288439881012,0.00082009626590818,0.00113977248473426,0.00047691389318821,0.000710167298181931,0.00079641583680838,0.000656630836493215,0.000828633754560802,0.00104238539595208,0.000801429418992203,0.000776813279250505,0.000871954900636432,0.000192765936361585,0.00109264751293596,0.000164697233960689,0.000490960843356042,0.000667684475825249,0.00112296627608622,0.000618380042021706,0.000654274510393667,0.000928461925241995,0.000508034289964127,0.00065427730225399,0.000869398051161365,0.00111627478474392,0.00102664076326918,0.000326975677860645,0.000497362459395784,0.000902627035023397,0.000648430651162507
"CHGCY",0.0013670077334287,0.000846094017894372,0.00861830675208291,0.00113068830403533,0.000241196774985132,0.000510307208308743,-0.000302251730144983,0.000751726958928392,0.00110379413921439,0.00151338350048385,0.000547680677249809,0.00132200642304223,0.0019281305539659,0.000414068139924292,0.00113795810251275,0.000498055201106766,0.000491766659942895,0.00125384800694852,2.06646565700004e-05,0.00131933827650532,0.000599643850235012,0.000639581382993967,0.000322031971450332,0.00100981894226307,0.00026958827023583,0.000720746551672743,0.00126723185057304,0.000365970423034365,-0.000187101467077793,0.000712866424325393,0.000495733278950837,0.000699976503584914,0.000445243639679126,0.00167264012799461,0.000263432677338208,0.000638256820031042
"TAK",9.3019769266341e-05,0.000286041946589936,0.00113068830403533,0.00308357830565113,0.000407290210010302,0.000366828838793057,-0.000499273338086335,-0.000346160416375034,-0.000632727584669305,-0.000363233118840535,0.0010434010090069,-0.000330637651237374,-0.001046280862554,-0.000406420248287281,-0.000241180148191559,0.000497050691301429,0.000417638079803119,0.000521633915775084,-0.00068840660645976,-3.93825383091383e-05,-4.37183632601084e-05,0.000153135577008724,0.00045463615212456,1.88757835017698e-06,0.00129675307029412,0.000281501347601499,0.000163878483241317,-4.51698199177351e-05,0.000374455920389545,0.000435947098833089,0.000390088361770309,-7.98727591105576e-05,4.02651114452645e-05,-0.00154480497112435,8.84261991802771e-05,6.25111397016134e-05
"D",0.000593645200783897,0.000720452957046733,0.000241196774985132,0.000407290210010302,0.00411011683618085,0.00142342346471446,0.00194418365981776,0.00147074075252484,0.000260953348266205,-6.02458202587582e-05,0.000835562691199062,0.000432849940323394,-0.00019928605741177,0.000863823438701982,0.000321738481974239,0.000608352229475768,0.000420966745611222,0.000685829652404223,-0.000995077969175254,0.000858415722626808,0.0002857583428037,0.000282868028417379,0.000889180845524517,0.00190110346009468,0.00122529034493159,0.000664448789876901,0.000270123042022808,0.000717161944918419,0.000670476959443053,0.000601184895851785,0.00132653200586308,0.000131178659044709,0.000667491616931546,0.000861692972266723,0.00117143509745036,0.000794120789903792
"EIX",0.00013720899259724,0.000649415398151901,0.000510307208308743,0.000366828838793057,0.00142342346471446,0.00752369063694416,0.00301255163127007,0.00101262739374784,0.00210690771787613,0.000513889567475872,0.00145995410340219,0.000590090995887547,-0.00132696187411103,0.000625083536523963,0.000240825052506058,-3.08171589059327e-05,0.000978629297636814,0.000827522196468176,-0.000174964890276999,0.0012842756776013,0.000363723843202028,0.000477989916625853,0.000597421978810292,0.00113873414887624,0.000795099715525044,0.00111420311987308,0.00139873902057828,0.00122168897417803,0.000677878096734995,0.00110753028677988,0.00200371624845821,0.00198664371045366,0.00159208979722855,0.00162587513717143,0.00171109064422453,0.000498085704697971
"AES",0.00118787381222794,0.00101288439881013,-0.000302251730144983,-0.000499273338086335,0.00194418365981776,0.00301255163127007,0.0140069427595567,0.00179634103523935,0.00267450390458953,0.00105054716100089,0.00150357668232911,-0.00049836563267217,-0.00118744974963432,0.0017124809978745,-0.000229294195866749,0.000345121300548271,0.000876023914958426,0.000199744573159109,0.000702808814383375,0.00149791487505824,-1.16052661822252e-05,0.000197442171211575,0.000580036972846493,0.00266873159707699,8.28696357632525e-05,8.32972106933194e-05,0.00106223355571387,0.00208802238388817,0.000669365229829638,0.000200836778613014,0.00291292858294068,0.00347175736217174,0.00276846988319747,0.000251182802854285,0.00167377677484063,0.000747942872136859
"NRG",0.000406656229587147,0.00082009626590818,0.000751726958928392,-0.000346160416375034,0.00147074075252484,0.00101262739374784,0.00179634103523935,0.0129994677194215,0.00311988415520729,0.00189971567521011,0.00126912566825359,0.000872484889735746,0.00294521324342623,0.0024850931150064,0.00220356383108735,0.00172597511022711,0.001288713608309,0.000401588406484013,0.00337093867834273,0.00189077160660222,0.000187551563758877,0.000416767326901807,0.00125317436967703,0.00329958127239362,0.000342396537293155,0.000872489283601223,0.000995474958629094,0.00146650599923309,0.000258893950915611,0.00231154335848037,0.00164856659683454,0.000736725991870326,0.000245112588324678,0.00329211535007771,0.00253179089485991,0.00102396883088653
"AMD",0.00180876165012476,0.00113977248473426,0.00110379413921439,-0.000632727584669305,0.000260953348266205,0.00210690771787613,0.00267450390458953,0.00311988415520729,0.0246310125682594,0.00479921932367729,0.00220192351378011,0.00420477781452449,0.00324824473472643,0.00343764548828519,0.00305136015791201,0.000632261812223176,0.00207287790651181,0.00204742020791282,0.00894858138514965,0.00371960091728907,0.000302635201846563,0.00081501584655088,0.000592020835946653,0.00193223992864899,-0.00272376249436286,0.0010509847771153,0.00178204607716901,0.00201166734525041,-0.00127276118451252,0.00172861598157304,0.00346910018884229,0.00524510850191734,0.00251013581114761,0.00466902153108665,0.00371719109788797,0.00240452294255988
"AVGO",0.000733304685930519,0.00047691389318821,0.00151338350048385,-0.000363233118840535,-6.02458202587582e-05,0.000513889567475872,0.00105054716100089,0.00189971567521011,0.00479921932367729,0.0104860331715629,0.00141892667948247,0.00215758676139662,0.00256832084968166,0.00282162695215419,0.00179668296603916,0.000829562541986234,0.00163365119208917,0.00134369351856667,0.00495297944585235,0.00197877891870624,-5.07592217928701e-05,-0.000410320530933744,0.000732178350745079,0.00177127248307674,-0.00061056911796063,0.000807629752262753,0.00174120745225479,0.00184536283927407,-0.00033700760394871,0.00126397433337723,0.00141361244583898,0.00159446125089366,0.00149329847951124,0.00425189211394287,0.0019090766572487,0.00202397460520801
