"","ETIHX","VHCIX","CHGCY","TAK","D","EIX","AES","NRG","AMD","AVGO","TXN","CRM","CRWD","ORCL","FTNT","IBM","CSCO","AKAM","SMCI","APO","CME","CBOE","V","PYPL","FI","VRSK","ROST","ULTA","AZO","CMG","NKE","CROX","LVS","TSLA","GM","LYV"
"ETIHX",0.00428235056307691,0.000559390018582484,0.00125984284091983,0.000753614375528765,0.00087007764892714,0.00117712149257604,0.00160613042166986,0.00154760746778064,0.00213152714601207,0.00139046113037365,0.00103626789119033,0.00131571354391347,0.00204888687363231,0.00143379181246014,0.00149196218938404,0.000988031331908214,0.000886772587666562,0.00108867785278331,0.00307021875471214,0.00141314498680471,0.000676649970998571,0.000616584435933955,0.000805597403717319,0.00161191519364115,0.00161611653908708,0.00102000022641643,0.00109942870440926,0.00122897201882483,0.000866364980439923,0.00131470309935767,0.00131455189936367,0.00184771039148792,0.00151756020964096,0.00238356230695291,0.0013653323375423,0.00133649185088894
"VHCIX",0.000559390018582484,0.00161818935571138,0.000774443847863051,0.000463257795205065,0.000534849475258993,0.000723593823375069,0.000987311895997878,0.00095133697902713,0.00131028095820023,0.000854736823621874,0.000637009051449965,0.000808788387359436,0.00125948077229489,0.000881372828586659,0.000917131011332454,0.000607357331914182,0.000545112098641252,0.000669226222516145,0.00188730843955471,0.000868680922431862,0.000415946648404141,0.000379023484189919,0.000495212524054041,0.000990867880061083,0.000993450508645907,0.000627009079632809,0.000675834928483733,0.000755467101340846,0.000532567243558584,0.000808167252290498,0.000808074307439482,0.00113581464198796,0.000932866489331416,0.0014652106633159,0.000839289786594418,0.000821561117007533
"CHGCY",0.00125984284091983,0.000774443847863051,0.00820791139098748,0.0010433364868904,0.00120457330304583,0.0016296581416003,0.00222359674396747,0.0021425750237138,0.00295097879823668,0.00192501480601909,0.0014346542955915,0.00182153099945532,0.00283656801433959,0.00198500368506742,0.00206553728245043,0.00136787350698755,0.00122768650165091,0.00150721292369372,0.00425054424854736,0.00195641932250181,0.000936783621067213,0.000853626284407415,0.00111530404983679,0.00223160543363949,0.0022374219588281,0.00141213263362984,0.00152209686982152,0.00170144226310392,0.00119943332347243,0.0018201320961073,0.00181992276826578,0.00255805055111016,0.00210097629395742,0.0032999072262598,0.00189022541334852,0.00185029739047341
"TAK",0.000753614375528765,0.000463257795205065,0.0010433364868904,0.00293696156376127,0.000720553173831362,0.000974830957336551,0.00133011389770597,0.00128164822315512,0.0017652202100129,0.00115150777843251,0.0008581833114061,0.00108960570483423,0.00169678182336667,0.00118739200157075,0.00123556569016874,0.000818236295265307,0.000734379056050545,0.000901586522846783,0.00254259590600018,0.00117029337161065,0.000560366404972147,0.000510623244712766,0.000667153979641452,0.00133490454576932,0.00133838388212414,0.000844711275320458,0.000910489820466282,0.00101777087344571,0.000717478534383784,0.00108876890706961,0.00108864369107803,0.00153017789682274,0.0012567646426561,0.00197394265605775,0.00113069741575798,0.00110681322080303
"D",0.00087007764892714,0.000534849475258993,0.00120457330304583,0.000720553173831362,0.00391485732676756,0.0011254809555161,0.00153566918373779,0.00147971364263326,0.00203801665684664,0.00132946134404204,0.000990806627610871,0.00125799294799091,0.00195900182846343,0.00137089110111082,0.00142650953286655,0.000944686215084173,0.000847869710634789,0.00104091735451905,0.00293552769148307,0.00135115005550627,0.000646965211927953,0.000589534762968801,0.00077025569698234,0.0015412001766954,0.00154521720834146,0.000975252628292011,0.00105119656430062,0.00117505678961185,0.000828357388902417,0.00125702683182421,0.00125688226500184,0.00176665099570807,0.00145098456325193,0.00227899498877615,0.0013054349559885,0.00127785970680574
"EIX",0.00117712149257605,0.000723593823375069,0.0016296581416003,0.000974830957336551,0.0011254809555161,0.00716543388624257,0.00207759526278308,0.00200189343301641,0.00275721737244976,0.00179861823085628,0.00134045481778054,0.00170192917656848,0.002650318806745,0.00185466823689654,0.00192991399396636,0.00127805885932948,0.00114707654026407,0.00140824924247924,0.00397145328575866,0.00182796072510642,0.000875274358384515,0.000797577136899205,0.00104207312624919,0.00208507810146272,0.00209051271329624,0.00131941192934831,0.00142215590790791,0.00158972547307136,0.0011206784672765,0.00170062212528913,0.0017004265419249,0.00239008881505354,0.00196302607808161,0.00308323514121916,0.00176611311156989,0.00172880676481315
"AES",0.00160613042166986,0.000987311895997878,0.00222359674396747,0.00133011389770597,0.00153566918373779,0.00207759526278308,0.0133401751206838,0.00273149540127104,0.00376210164284475,0.00245413534267082,0.00182899154869705,0.00232220738747371,0.00361624325907202,0.00253061310677912,0.0026332826275496,0.00174385501207824,0.00156513540779048,0.00192149405469574,0.0054188730566277,0.00249417188346975,0.00119427330413655,0.00108825886816386,0.00142186287501273,0.00284499721688717,0.00285241250532666,0.00180027945441966,0.00194046908705208,0.00216911037688701,0.00152911640009568,0.0023204239735817,0.00232015710869711,0.00326117089914775,0.00267846260766024,0.00420693852648668,0.00240978353933094,0.00235888067261304
"NRG",0.00154760746778064,0.00095133697902713,0.0021425750237138,0.00128164822315512,0.00147971364263326,0.00200189343301641,0.00273149540127104,0.0123857282708982,0.00362502105586361,0.0023647134329932,0.00176234815123442,0.00223759256788948,0.00348447734850365,0.00243840455873013,0.00253733308589958,0.00168031375472802,0.00150810619891385,0.00185148012155297,0.00522142429795537,0.00240329115288976,0.00115075728540848,0.00104860572250283,0.00137005412128484,0.00274133338069275,0.00274847847651428,0.0017346822463242,0.00186976375616934,0.0020900739892721,0.0014733996243179,0.00223587413667109,0.00223561699560538,0.00314234284410272,0.00258086683239366,0.00405364931280975,0.00232197768679709,0.00227292957986804
"AMD",0.00213152714601207,0.00131028095820023,0.00295097879823668,0.0017652202100129,0.00203801665684664,0.00275721737244976,0.00376210164284475,0.00362502105586361,0.0234953354738607,0.0032569310887293,0.00242729051344484,0.00308184691497451,0.00479918726978671,0.0033584262276444,0.00349468095991128,0.00231430414790937,0.00207712186001779,0.00255005240124058,0.0071914925868763,0.00331006436632242,0.00158494349722729,0.00144424966247009,0.00188698207512027,0.00377565153882022,0.00378549251337062,0.00238918613067155,0.00257523453839351,0.00287866887311937,0.00202932032930894,0.00307948011146211,0.00307912594984599,0.00432796378521423,0.00355464019657277,0.00558311053064255,0.00319807094168393,0.00313051675009703
"AVGO",0.00139046113037365,0.000854736823621874,0.00192501480601909,0.00115150777843251,0.00132946134404204,0.00179861823085628,0.00245413534267082,0.0023647134329932,0.0032569310887293,0.00999810331602776,0.00158339672914053,0.00201038412907444,0.00313065839602714,0.00219080537515261,0.00227968855423904,0.00150969222585367,0.00135497087841817,0.00166347810816055,0.00469123319875614,0.00215925743616129,0.00103390769892665,0.000942128755890847,0.00123093681170115,0.00246297435919929,0.00246939393148714,0.00155854006088638,0.00167990519563931,0.00187784480379606,0.00132378846042863,0.00200884018988822,0.00200860915930434,0.00282326473217298,0.00231880182011541,0.00364203580234127,0.00208620065895411,0.00204213296890797
