"","ETIHX","VHCIX","CHGCY","TAK","D","EIX","AES","NRG","AMD","AVGO","TXN","CRM","CRWD","ORCL","FTNT","IBM","CSCO","AKAM","SMCI","APO","CME","CBOE","V","PYPL","FI","VRSK","ROST","ULTA","AZO","CMG","NKE","CROX","LVS","TSLA","GM","LYV"
"ETIHX",1,0.412350782167353,0.365994837186699,0.0415409465498432,0.230021407410909,0.0393018523449609,0.249508408456064,0.0888519126453901,0.286651897719507,0.178248403091601,0.161210291895115,0.339232692382652,0.182043369054801,0.234071439084117,0.11346426795683,0.119949101929211,0.142988841769647,0.0596684544006115,0.0693640138371255,0.324256445004528,-0.0433764798044688,0.0834084270742231,0.109306011791062,0.435058272156286,-0.0717549883284056,0.0140206479377418,0.236287952561119,0.202074630443503,-0.081814025948522,0.0436327692155221,0.174436983336147,0.160866942623019,0.367037855322386,0.227955736107107,0.287059725065245,0.374594288750239
"VHCIX",0.412350782167353,1,0.368508978306179,0.208222190365434,0.454292943681907,0.30271581128934,0.346060676242356,0.290881959611651,0.293624883175841,0.188386664361587,0.37613613690871,0.332220553565549,0.175935705706683,0.317321200393076,0.383476524215727,0.445199417048636,0.480756040748686,0.439438979512637,0.0352915903021204,0.424383480810615,0.13351031371786,0.436864497896436,0.45482392658777,0.382251477139507,0.209996435060335,0.352048601396837,0.463473439268647,0.226846094352917,0.414406432134087,0.362908273797268,0.465980553232471,0.305022041017156,0.118243518119849,0.114526038597897,0.362866921344188,0.26629371092032
"CHGCY",0.365994837186699,0.368508978306179,1,0.365539422967922,0.0675365036557992,0.105621437809004,-0.0458480600406601,0.118348325418484,0.126175749935481,0.265184199056382,0.128769810506523,0.24480599256463,0.229281565182506,0.0703701508187519,0.185833387623751,0.122820200068981,0.135114755438207,0.280598678932804,0.00167983826213743,0.227469558388337,0.215907634008169,0.252721453269409,0.0973944381137721,0.152630765550383,0.0406436042418469,0.172161093706353,0.280826890802824,0.0725525084789803,-0.0526152583768085,0.132108761728366,0.0918799276183642,0.0923048368450606,0.0714825303339924,0.17097112379523,0.0470135603767457,0.116355056109607
"TAK",0.0415409465498432,0.208222190365434,0.365539422967922,1,0.190815099108073,0.126946913956223,-0.12666986812094,-0.0913999238068694,-0.121477382184718,-0.106886400942736,0.409843612655632,-0.102562281418344,-0.208210166545387,-0.115989275398447,-0.0661295783751246,0.204586229274651,0.191600240757597,0.195263358172046,-0.0935516614246076,-0.011662364643513,-0.0261913250847081,0.101296175441179,0.229730587046738,0.000524025675844847,0.326701671388097,0.112195575085448,0.0604759193648476,-0.015018910181533,0.175987163211243,0.134921535364244,0.120779463103897,-0.0179821984901296,0.0107612392521975,-0.26405071316128,0.0260850378322782,0.0188571077019575
"D",0.230021407410909,0.454292943681907,0.0675365036557992,0.190815099108073,1,0.426619089872098,0.426954640197905,0.334882959556814,0.0424696291806479,-0.0158955537806435,0.28413092887366,0.115796857693701,-0.0345898617063823,0.211866584908124,0.0757140939818164,0.216821172116925,0.167192494003222,0.222375326736474,-0.117126387386627,0.213905161266303,0.149138240770155,0.162017434953087,0.389222632317751,0.416127677598186,0.267330271777346,0.229542943663225,0.086381503690633,0.205800819264521,0.27294818290214,0.161148298714445,0.35588767881634,0.0245752977124432,0.155110806434351,0.127435649025545,0.302310734512704,0.209372862037091
"EIX",0.0393018523449609,0.30271581128934,0.105621437809004,0.126946913956223,0.426619089872098,1,0.489083806783415,0.170570375729107,0.257653070092348,0.096292295468223,0.367329766350874,0.116914807072677,-0.168916155560536,0.113594104473966,0.042043293164651,-0.00818410589123513,0.287733059663243,0.19822462477726,-0.0152224749774173,0.236928262935763,0.140187246829571,0.20216838455688,0.193355027538514,0.184219865578206,0.128270753141816,0.284806614417082,0.331709455523431,0.259205089199861,0.204019098577731,0.219645673576197,0.397449326736248,0.280304227034354,0.27355718745433,0.177855610130134,0.32674532706857,0.0971483686350467
"AES",0.249508408456064,0.346060676242356,-0.0458480600406601,-0.12666986812094,0.426954640197905,0.489083806783415,1,0.221965875562352,0.240065269348053,0.14462298745943,0.277411489230747,-0.0722876478667325,-0.110652348405616,0.228511604276046,-0.029232272845007,0.0669043174992585,0.188897679043211,0.0350108961908192,0.0448138277934455,0.202721108129909,-0.00333714575453488,0.0611295338455654,0.137659523326381,0.316381064504001,0.00985120591332246,0.0157075552860782,0.18475496597202,0.324715733441377,0.147677642310378,0.0292588432000764,0.423518291492265,0.359262388857413,0.348658077129643,0.0201770038371627,0.234422101511026,0.10704254971256
"NRG",0.0888519126453901,0.290881959611651,0.118348325418484,-0.0913999238068694,0.334882959556814,0.170570375729107,0.221965875562352,1,0.291669666725233,0.27213707886611,0.243513028236812,0.132019664372107,0.285627204101078,0.34504226118083,0.293620759101688,0.34721386857601,0.288760997846382,0.0728996729217658,0.223072320485967,0.26611240465025,0.0546778620015764,0.13372719534176,0.308825865235576,0.405877772060159,0.0422775909615069,0.170154251644559,0.180141488017619,0.236785602551846,0.0593927687228518,0.349039510090368,0.248930288229606,0.0799763975693181,0.0321429482146399,0.274123029359976,0.368480225546996,0.152417077381098
"AMD",0.286651897719507,0.293624883175841,0.126175749935481,-0.121477382184718,0.0424696291806479,0.257653070092348,0.240065269348053,0.291669666725233,1,0.499268196342283,0.307161565289367,0.461165005168869,0.229312392623133,0.347729444202529,0.295840781625227,0.0935884187436647,0.337631141345529,0.270313249351523,0.429951010259179,0.380465912642875,0.063835370117819,0.189703489104864,0.106402254299631,0.172402224759803,-0.242200856941774,0.149344766226742,0.234489584909339,0.235938210815906,-0.211310192364378,0.189960424536505,0.380407955286603,0.41050589337419,0.238397002538668,0.282439971339565,0.393402867845166,0.259966257438651
"AVGO",0.178248403091601,0.188386664361587,0.265184199056382,-0.106886400942736,-0.0158955537806435,0.096292295468223,0.14462298745943,0.27213707886611,0.499268196342283,1,0.303264575330718,0.36281460811851,0.277576431156376,0.436521417733898,0.266963008096763,0.186564798440361,0.407539637684869,0.272031618967052,0.36480713374796,0.310323570676057,-0.017043549571831,-0.147447808790607,0.201121610900929,0.242390216506629,-0.0829780246767369,0.175610093141825,0.350525752789283,0.331658531741456,-0.0856654466572716,0.212759669941361,0.237713212465726,0.191958470204504,0.21739808196226,0.394090276453932,0.309808820447585,0.335055645866539
