"","ETIHX","FBTDX","VHCIX","PRHSX","FBIOX","SHSKX","PJP","IXJ","XBI","FXH","LLY","ABT","TMO","AMGN","PHAR","NRIX","ELV","CHGCY","TAK","NEE","DUK","D","AEP","SO","ED","EIX","EXC","XEL","AES","CNP","ETR","EVRG","LNT","ATO","NI","NRG","AWK","WTRG","PEG","PPL","AMD","AVGO","QCOM","TXN","AMAT","KLAC","LRCX","MU","ADI","MCHP","MPWR","ON","SWKS","MSFT","CRM","NOW","ADBE","INTU","CRWD","PANW","SNPS","CDNS","WDAY","DDOG","ORCL","FTNT","IBM","CSCO","AKAM","NTAP","AAPL","DELL","HPE","GLW","FLEX","WDC","STX","SMCI","GS","MS","BLK","BX","KKR","APO","SCHW","TROW","BK","AMP","CME","ICE","CBOE","MA","V","PYPL","FIS","FI","COF","SYF","IBKR","VRSK","MSCI","AMZN","HD","LOW","TJX","ROST","ULTA","AZO","ORLY","MCD","CMG","SBUX","YUM","DPZ","NKE","DECK","RL","CROX","MAR","HLT","MGM","LVS","TSLA","GM","GE","TDG","NVR","DHI","LEN","ROP","TDY","CPRT","HUBB","MSI","EBAY","LYV","BBY","POOL"
"ETIHX",1,0.634615791255723,0.412350782167353,0.485949882263433,0.654179693887715,0.448455379048519,0.419218392849065,0.306366096500723,0.841588275170397,0.469485732782056,0.0500122963204764,0.266360067849343,0.344279543961886,-0.0360816216185098,0.0627605534262073,0.608693976289098,-0.070574432199315,0.365994837186699,0.0415409465498431,0.210881929907389,0.0501567647447888,0.230021407410909,0.154372819475664,-0.0342335233246729,-0.106189150698147,0.0393018523449609,-0.0909393714243905,-0.00922416837380899,0.249508408456064,-0.143905138625526,-0.00176034313986151,0.181393676458651,0.0433764151250007,0.106314973309057,0.0658325025220805,0.0888519126453901,0.095255979763499,0.181261714874253,-0.00700667785962188,0.13927860195756,0.286651897719507,0.178248403091601,0.192909714001712,0.161210291895115,0.266329679436247,0.302298944633054,0.275015216287137,0.254562649122359,0.182972168136724,0.194569232775514,0.374896728401531,0.324717783340939,0.391904811066542,0.182310696214789,0.339232692382652,0.319131390541145,0.19086774240972,0.163750332549393,0.182043369054801,0.186772782097831,0.179686501145842,0.195698758407149,0.371415728369045,0.390045370666393,0.234071439084117,0.11346426795683,0.119949101929211,0.142988841769647,0.0596684544006114,0.290064879057013,0.230124450704684,0.0448598839707116,0.257713805174824,0.272830454478501,0.4189097145926,0.218278054656038,0.264824934193842,0.0693640138371255,0.475809499046918,0.496528827074649,0.426672767923051,0.316815049809282,0.369004340141134,0.324256445004528,0.375922821117502,0.451767301497337,0.354336382370518,0.335542674066442,-0.0433764798044688,0.316177145820912,0.0834084270742231,0.121596914124543,0.109306011791062,0.435058272156286,0.133138074951912,-0.0717549883284056,0.366346711433833,0.331965141735284,0.32962808352762,0.0140206479377418,0.342093557189896,0.370336474101383,0.277380588080885,0.38358956111271,0.230585882996818,0.236287952561119,0.202074630443503,-0.081814025948522,0.088169064401207,0.0583588662836318,0.0436327692155221,0.227547115037767,-0.0447075082313589,0.0554735019446281,0.174436983336147,0.167171051026815,0.367227088144977,0.160866942623019,0.207689316810762,0.186950818042033,0.367320844278925,0.367037855322386,0.227955736107107,0.287059725065245,0.339807606959112,0.201220624289438,0.284257721753473,0.355632207935352,0.371951765439305,0.0036183849629641,0.242914491884581,0.153167427406105,0.365294644450282,0.155617759549532,0.292571411358587,0.374594288750239,0.37751289563106,0.239958885699139
"FBTDX",0.634615791255723,1,0.35203342389798,0.770682897602405,0.752187462425889,0.563914535597336,0.434169024884725,0.295419695302974,0.529045110823687,0.262779207722923,0.17153408430947,0.278411901560501,0.370917450803452,0.210854516857071,-0.10313756138691,0.371192155550191,-0.0933482671933688,0.234915642929857,0.0489768351538656,0.0647907765912929,0.175312648655002,0.182744008930058,0.210593106365524,-0.0427938939431011,0.0548399357724591,-0.180310899950061,-0.033258759300575,0.0487918551721512,0.0907460401276807,-0.0201821362671161,0.0764671300629898,0.0341896247976638,-0.039635190692446,0.0458799193790983,0.0609082530358155,0.114974473975013,0.0319466542496955,0.0178820052008916,0.0102230540577656,0.167772975573672,0.123542720746343,-0.0706089196706736,0.217658604251354,0.0631508792312363,0.237513883837475,0.259093261942893,0.169558007810568,0.149574102084525,0.0698738360916646,0.0460404951652668,0.139981710381282,0.0316111425306026,0.283458914257237,0.0870332392941769,0.25554797573737,0.0778559427614245,0.112036344819465,-0.0282139841752441,0.0857099168681648,-0.00502031760899688,-0.00630567304229782,-0.0716798374279164,0.147304568050624,0.109898283079111,0.0532502555065176,-0.0665120079450124,0.125985486716342,-0.053218768669695,0.156779458570658,0.0711566715751652,0.0720620334376824,0.0408694145007591,0.143099071271702,0.340038702114919,0.126588824739984,0.139192391896211,0.237643148285824,-0.0256184515093214,0.274947994387889,0.275692113736982,0.176157900237336,0.217102958535437,0.195583454186036,0.0827420945065706,0.143366346005853,0.228467687125209,0.170569398124127,0.141586504076353,0.0433070109075076,0.170316919126361,0.0450730556571959,0.0314589371268981,0.0324145920594727,0.233931035283976,0.0917145506767404,-0.109934694968827,0.209678571889403,0.0768578485445343,0.16137928861234,-0.141491911162138,0.0662783517615372,0.1765925478808,0.18397527357532,0.194300705809823,0.0394130201741403,0.022674179537376,0.00471685533658742,-0.15961954140906,-0.0477028929774414,-0.017407069161869,-0.0475891618078051,0.0406563646604969,-0.175247519269986,0.0394469521724751,0.0501808765238482,-0.0364887057038161,0.150011257592533,0.0773980668463705,-0.0112350350412436,-0.0327448360689801,0.106729760738555,0.105845282385696,0.0859490533992644,0.2424584654313,0.262587863189189,-0.0161737708911109,0.183365092817511,0.219595374649671,0.207228493129468,-0.0541959477425762,0.151208723355755,-0.130698764004159,0.155219426954901,-0.00602506433775796,0.313776416723066,0.0116655008665238,0.379899457079671,0.0651609423769098
"VHCIX",0.412350782167353,0.35203342389798,1,0.670487048074408,0.442417433127369,0.673913084560657,0.836881330305476,0.973576117290483,0.574168717103996,0.899782925773312,0.543611159139496,0.704726180577552,0.670666485966678,0.51898095380761,-0.106181043572005,0.463555087589222,0.524696377644726,0.368508978306179,0.208222190365434,0.511784751944744,0.543065418259084,0.454292943681907,0.555689470319651,0.368404023574403,0.398692541194673,0.30271581128934,0.443186348759053,0.29216623134186,0.346060676242356,0.316620986010928,0.38167066967599,0.541449139045369,0.471428375916781,0.552973201392723,0.413815221896599,0.290881959611652,0.64513514394273,0.631261035007679,0.329375504847404,0.537607699040198,0.293624883175842,0.188386664361587,0.421339331263666,0.37613613690871,0.412324058359959,0.505220896256322,0.424889374735599,0.332032831085347,0.403021887455198,0.268669074132416,0.391962875165536,0.250531814751123,0.407556647524818,0.386364611771923,0.332220553565549,0.28205672727397,0.432011133829489,0.363010162255691,0.175935705706683,0.215256716910782,0.286112538638798,0.267257115343118,0.350360602710412,0.187999335024476,0.317321200393076,0.383476524215727,0.445199417048636,0.480756040748686,0.439438979512637,0.420272407717805,0.500288740253821,0.132192788333353,0.379022288094429,0.283990655328185,0.345978078215173,0.3285127962926,0.31158804024142,0.0352915903021204,0.550695111564037,0.441440023690108,0.606655863016754,0.425412788702482,0.494122303222175,0.424383480810615,0.261641320601227,0.640695330223832,0.479711085005865,0.50556907466365,0.13351031371786,0.592020199093053,0.436864497896436,0.427546331062285,0.45482392658777,0.382251477139507,0.271894717089952,0.209996435060335,0.344251822405824,0.351608254115445,0.289210946603006,0.352048601396837,0.558766872411511,0.290907967932732,0.56292207251612,0.536503943501852,0.536013167674966,0.463473439268647,0.226846094352917,0.414406432134087,0.49993804216606,0.532752279665389,0.362908273797269,0.526544274054412,0.572653499642518,0.50329785225643,0.465980553232471,0.28546642445931,0.371094133153842,0.305022041017156,0.342750663068373,0.404472827670019,0.389628616240481,0.118243518119849,0.114526038597897,0.362866921344188,0.379802862510239,0.399095669253039,0.586606669966772,0.606383604921233,0.670593847478597,0.625604438644303,0.510539258612146,0.510800655438257,0.413851785852574,0.578735949832227,0.464935153336952,0.26629371092032,0.560146059935601,0.430381665424936
"PRHSX",0.485949882263433,0.770682897602405,0.670487048074408,1,0.570427738812663,0.764284782614143,0.542439609161155,0.641788411739867,0.474416409362635,0.540357920688106,0.38894679704296,0.510290758780209,0.521147787677763,0.361910583035092,-0.202650109990886,0.327274773600137,0.280488396123091,0.224987802662131,0.111540679075199,0.237720883850234,0.316414581216434,0.272110624082004,0.336294813556013,0.125998242535401,0.25347470992202,-0.17667646665755,0.226362203038384,0.117477365030625,0.0461732856944562,0.150459865272427,0.174515650132163,0.236547115396757,0.125738287697956,0.248864543016498,0.179141901826319,0.244698599191091,0.280998788207543,0.231006081249236,0.161570488326466,0.311583701695225,0.220438729641966,-0.10266798099545,0.361416478542418,0.164441123356034,0.342898017649174,0.404205553297964,0.297081428396564,0.234248022830779,0.17929694317775,0.109888549567855,0.237875844116765,0.0342687448122942,0.279889230113203,0.252705585258365,0.345292035608428,0.202040916033423,0.315875782691651,0.116402139210321,0.220380764201477,0.197574497306476,0.243998728591103,0.123918953777862,0.228337247417129,0.184472378437729,0.228440591831622,0.198918191418703,0.322567315603019,0.16086517868304,0.320835028403195,0.280056313726737,0.185020048640166,0.0536035121161798,0.190153000104023,0.292233996870368,0.18680696335307,0.23920141712814,0.289629715052524,0.0380409592120236,0.397291431388129,0.293865818737035,0.32509630952883,0.308152971484583,0.376339449198625,0.275621017364681,0.184925225374882,0.421356672594927,0.329061413102564,0.31371683664939,0.150262502151554,0.349185690223186,0.287201285048779,0.181186536086332,0.232171886080157,0.282492383779027,0.175801752500115,0.080264795771985,0.320033175011223,0.187644271121552,0.279734444051914,0.153574860083619,0.266033816387626,0.288152564756809,0.341393014563735,0.309641107190725,0.206717053034714,0.143481036782251,-0.0262872602248643,0.106623717663358,0.271990417604669,0.167782515551028,0.211581538201309,0.336410365192567,0.0974531402151342,0.313569471666735,0.233984713376877,0.0937969368579088,0.201405696933464,0.219515781240532,0.145626789838938,0.148633612287132,0.185221685496678,-0.0150662540343123,0.0672118744954324,0.255848494835855,0.395775445331243,0.20104291318381,0.308660688768081,0.339668752806084,0.390356369990754,0.336954632118216,0.264385036022924,0.229816460539068,0.227212311059015,0.315400202694485,0.368193927073643,0.144413177468826,0.397246481763586,0.172793808418587
"FBIOX",0.654179693887715,0.752187462425889,0.442417433127369,0.570427738812663,1,0.442503463749343,0.550479327283559,0.36666180880181,0.734970222739638,0.365838004204994,0.318509954805138,0.355090404727217,0.40848433605761,0.182100189583269,-0.00747823968324534,0.546985801383773,-0.113989509395369,0.337948847156212,0.0234361173602051,0.247114823225871,0.146323769929295,0.138078883233047,0.136881865664774,-0.0849172189132373,-0.00340159884843197,0.005314940634299,-0.084557445858778,-0.0174969700511774,0.227717995638598,-0.0643840687209244,0.0141730688299538,0.0770815090740822,0.0537628133140841,0.0062102634156684,0.0255849547042053,0.0994646641783832,0.249314155063814,0.202618242657792,-0.0245043247295721,0.136296613317116,0.200551268798263,0.106727828614681,0.183258204610792,0.173246846668916,0.293437509302943,0.300340466784347,0.249341985925143,0.179790323711994,0.156250435334551,0.127622489299529,0.225907538829358,0.229953931445452,0.290278459159426,0.185943710093353,0.31142500021681,0.208098738662741,0.122366146523372,0.134327455067245,0.120384919323725,0.0435863751432386,0.126706868985602,0.089927452807279,0.179720901257054,0.299610618680748,0.137039702563925,0.0555528961066297,0.0671322650065562,0.152703718466512,0.172456578447402,0.151462165744816,0.15473552064339,-0.0163233273224203,0.143511258982701,0.18981152813355,0.237572050637071,0.162697288087246,0.191568416643785,0.0319211181736423,0.330623033949324,0.282816916567943,0.335782389042565,0.250147338657283,0.186145597499773,0.127326953800051,0.154122706614984,0.431025771296462,0.157275941850934,0.168871035078114,0.0437376666280995,0.205999772830384,0.135045156896275,-0.145283844131033,-0.129229906851359,0.264692378313495,0.012558405808764,-0.0881653036060412,0.181428400876119,0.122785760952809,0.146415331844144,-0.0715876941668612,0.155725557871842,0.202497989204024,0.24557353582498,0.274129199160499,0.0379812635703022,0.036314155842511,0.124272913563415,-0.102284649932271,0.0375610872681121,0.00849375420739375,0.0543361431640292,0.094656585009723,-0.0690031087093063,0.133205823333242,0.0864698255653003,0.122714115677202,0.132238349429577,0.186542886439683,-0.0633447697844574,-0.0385675291759588,0.147996058933976,0.0390441759761661,0.109109243811937,0.377756238803899,0.182036564963499,-0.00462114492797266,0.298549709194546,0.35814846682138,0.338912023225253,-0.034039706492091,0.0899117485325573,-0.0307736726916265,0.220027220498815,0.243609441865564,0.422006376211561,0.135237677117405,0.367712707222651,0.142946194912024
"SHSKX",0.448455379048519,0.563914535597336,0.673913084560657,0.764284782614143,0.442503463749343,1,0.629748091170582,0.656012895072966,0.399112670298728,0.572745827119962,0.42609052120838,0.538814690558476,0.355010214121092,0.344717221216784,0.109480071808133,0.204160319184398,0.487545786998397,0.16345837586884,0.251033353678511,0.240970432028843,0.296125428647265,0.288076171643529,0.304989323784639,0.131375188390908,0.186888239193295,0.057915708658748,0.176104796649823,0.123226890077529,0.138225550297868,0.124058939677594,0.180885925348163,0.243871181134301,0.204351829593242,0.246819470203292,0.210204203156533,0.2248269286256,0.28711005291551,0.214323893646786,0.0535458023336078,0.314192350140082,0.0398960553048151,-0.104232221862626,0.249296845983942,0.230965426329574,0.150536378059978,0.220731311813338,0.1652500610809,0.180847960120945,0.149924030457491,0.0526208224565363,0.184497531633035,-0.0594047413574017,0.210368527502732,0.110467088490021,0.16538184022365,0.176546767701974,0.287599362038586,-0.0318805599941761,0.184704933009724,0.286097505819331,0.0375726521972423,-0.0521178886559566,0.291768573045645,0.073302105457349,0.103008586735069,0.0432818945627872,0.368164539747985,0.264917197449392,0.300984581030275,0.317509906899294,0.218492771686387,0.0115940873461889,0.2582818270335,0.171765906785767,0.18321709213722,0.113534949594667,0.142671013160861,-0.114213301223285,0.319186512168315,0.284153606251426,0.310889552349957,0.178759767020256,0.205217152831933,0.17454763392241,0.140967852316667,0.341544291490762,0.308344513067348,0.297975643314667,0.0698159118547464,0.299204069248968,0.190135786647691,0.175234387638608,0.221971776198847,0.246932035083538,0.0251530361629888,0.120045956218905,0.202056638307959,0.159753511886933,0.178758159356858,0.175545349832096,0.193559722162811,0.0769409954180683,0.334341804294462,0.394310186622541,0.366364475732408,0.244805455488683,0.0483623709054316,0.222605119198785,0.2324047458519,0.224446427258865,0.221835965197495,0.314397181935505,0.137930389663509,0.263143722203958,0.220881297244458,0.143096341640482,0.113847846479895,0.0970225088631798,0.108307132078406,0.119240752825112,0.198248685186671,0.0533982734019155,-0.0390513828725593,0.242719966267479,0.270935117862207,0.0302565850716205,0.298764006758526,0.298753397982477,0.374836704524895,0.280376697280863,0.241076052644016,0.21885403045353,0.107602934641308,0.360640466623954,0.226133882118063,0.147267074977944,0.423662531989617,0.115565003878927
"PJP",0.419218392849065,0.434169024884725,0.836881330305476,0.542439609161155,0.550479327283559,0.629748091170582,1,0.80879220925716,0.54892552620268,0.766591800156046,0.426119783044037,0.57997196788292,0.611516979722784,0.519234536794415,-0.00995375921519945,0.366168243599925,0.338735963769553,0.257226790243304,0.220772768214593,0.482868365454133,0.466942297904545,0.365293253258653,0.419457701854012,0.23041869729878,0.268060618566948,0.327817480147747,0.273200961223688,0.213118264444446,0.399953558690653,0.157876182612412,0.271433527791811,0.394704673563726,0.379122008065548,0.461302625322071,0.324327241679899,0.18160697533524,0.555786421470712,0.548471688990556,0.19123191243134,0.441245939079629,0.130602972106611,0.126239328151446,0.334400323811269,0.392586933034748,0.272124123640205,0.350274736713038,0.313900508348782,0.317521993491,0.360402354606059,0.181971096759232,0.276393137782647,0.194249719086817,0.408663133001826,0.171954475061553,0.185375999671784,0.0975578394562318,0.261346972276201,0.168498829623663,0.0335936939320317,0.0688406206531292,0.12726817742837,0.112574281464982,0.221026697293379,0.0808085220153957,0.13752590778342,0.157753883350372,0.28308526140673,0.440677828680486,0.360425216009867,0.338315852739262,0.420937056335405,0.00463685379148545,0.325853377318583,0.279291504792248,0.282248348726111,0.266694826694956,0.203710124192812,-0.11666634613104,0.470077590254976,0.430820841719294,0.472854032054414,0.328340249574531,0.307627085819217,0.21644096750732,0.245259368134904,0.557074311990194,0.407961778219042,0.358731093069519,0.077092906899281,0.433988961615908,0.224174491973551,0.276736271810543,0.262496118030371,0.320699607297387,0.126248373785,0.0864149457255697,0.28308484376532,0.29983764790783,0.235630507836681,0.168151225881719,0.389815045782962,0.145521775814181,0.466495134237087,0.524919966109052,0.434409896702281,0.359567690448777,0.12121068221281,0.343198214864643,0.33241679172624,0.388007363174024,0.137870447877418,0.379949523889843,0.357556179395759,0.309738279689852,0.293423258417944,0.199942428325445,0.254161931894829,0.140463744164763,0.187302423663135,0.235776691795945,0.328994082694078,0.155427666185405,0.0968342462453968,0.406121893917142,0.253923204021633,0.133517455769958,0.505233005054764,0.529149790519919,0.593272062597977,0.35194273048159,0.386819045826167,0.260473198262059,0.273572726208561,0.415637323584013,0.436245482484961,0.174264854116796,0.49505873871336,0.302888858339039
"IXJ",0.306366096500723,0.295419695302974,0.973576117290483,0.641788411739867,0.36666180880181,0.656012895072966,0.80879220925716,1,0.457814655252784,0.858631717635805,0.523542660908672,0.693563378694081,0.649087837872736,0.581030917457034,-0.095662625337038,0.372079789370244,0.569710566379034,0.379273353362689,0.319684925050127,0.511737512774798,0.601881237599719,0.477949740470805,0.59252730889229,0.437353463087929,0.503213034765058,0.339299977382987,0.510835827911084,0.354826406983487,0.323050835193159,0.369188071355818,0.417778699208911,0.551431686472832,0.539805770425777,0.590078551643957,0.466316547810285,0.277647505911666,0.691665040272116,0.658750127346657,0.362106121104013,0.590723421860516,0.271677611718023,0.159825248537261,0.409612655280621,0.427149799832312,0.380581507398915,0.492944425977256,0.397118342008946,0.304481259685693,0.442566906857074,0.288900500116148,0.380485680386595,0.232023473219346,0.357963252487484,0.372657174458666,0.291416697886919,0.224862773168518,0.450891903649701,0.333934613236755,0.115073376554374,0.173108419521455,0.278171126089782,0.222932318575325,0.32869143063138,0.11442829028554,0.285749587977974,0.346640186709014,0.429944867685502,0.47793718029643,0.473082915113335,0.400373394524316,0.469873298933811,0.120493086356155,0.350983643431355,0.278302557419838,0.311382750883755,0.313359240532486,0.299104287639745,0.0349868578745835,0.501321510955284,0.404703119895143,0.58243414472182,0.404193406839815,0.449864467945863,0.365600122776287,0.184812490837103,0.602600265811459,0.467748504922748,0.464756472333144,0.152682310344016,0.591227298934412,0.434555582789116,0.446167853618023,0.455271074344043,0.327927800281062,0.278326509691975,0.234547226615879,0.292466509290614,0.295216639024683,0.212988617043323,0.388933300813,0.537555186060558,0.226982437747494,0.546184780280221,0.514460588410376,0.518823015867723,0.439795898399144,0.178476178485494,0.427349424799197,0.485133319024819,0.568395425404677,0.342135194097795,0.513919244937855,0.598915564213653,0.501185736722759,0.476637024672909,0.248477845601217,0.328140170701898,0.303925398168681,0.321951032705414,0.379715458545542,0.361886477320039,0.07759027208031,0.0441180403364385,0.324298208758536,0.402491281269593,0.40958258825685,0.573155765008054,0.600688815377056,0.665374042209773,0.650628145720427,0.500160247948097,0.495853432329676,0.355590550755274,0.582887256733649,0.46986312741901,0.213588114786755,0.564431359430728,0.411157637919875
"XBI",0.841588275170397,0.529045110823687,0.574168717103996,0.474416409362635,0.734970222739638,0.399112670298728,0.54892552620268,0.457814655252784,1,0.595333649723617,0.286536423196363,0.384335673631631,0.460353792761529,0.0641287105082946,-0.00335331502942765,0.712577222312654,-0.00318906744569282,0.480977897069433,6.07057096316976e-05,0.341672538930977,0.119159483335131,0.235551405343379,0.205012769733746,-0.000293401512287485,-0.0444167799302094,0.161690872469659,-0.0482666609681187,0.0128436229042747,0.291820323512112,-0.0579844679083562,0.0641364336897308,0.22352497006729,0.0944332582148808,0.182000116401905,0.0634623008191109,0.20835485468523,0.323255970151227,0.34479337302118,0.0467452084848568,0.182424281676477,0.368351049531386,0.297746400085818,0.341066606312044,0.194047823565588,0.405196945157669,0.421231239621706,0.433581702200157,0.345038338288503,0.244124798159612,0.221414961833766,0.448670942465757,0.37670813980037,0.437004961373001,0.326918059403681,0.439582705020594,0.443079514907307,0.25946483228965,0.321803840727101,0.344610068257743,0.282814040323699,0.306917266885875,0.357949791268429,0.430550413347645,0.514972766216956,0.28872637348895,0.222604905518776,0.200598366609553,0.223603049807059,0.190511784029721,0.402131562053532,0.40367482149585,0.107610348294277,0.22840778314464,0.212544949510326,0.450343830599932,0.367445496492526,0.346828260023889,0.105534351895518,0.503589229524168,0.422566378440003,0.523777039372362,0.331977143197546,0.399665745760048,0.37506753240826,0.346499599213642,0.554149339987306,0.322649895752483,0.322323846324862,0.0103704901016038,0.406795907047934,0.230677601710495,0.0725317720325293,0.10947053170874,0.418092747769935,0.146090673536445,-0.0744951733842588,0.32238712909725,0.344490036091758,0.369200953936344,0.189000330650572,0.420902005223418,0.468994314245898,0.346638058332937,0.38331189214177,0.28930219526557,0.35599387168901,0.234387855554293,-0.0153331025412844,0.158642369190554,0.122391638520803,0.203572172053608,0.272084033277856,0.0744120703457029,0.24578585470602,0.198047182078016,0.238959407388985,0.39722736221701,0.27190883590184,0.144733805232974,0.18185394473959,0.308116368881167,0.213411634682666,0.340307689003466,0.367072091151673,0.29579725510154,0.257375612184204,0.383188644328903,0.420347239655986,0.436745818141232,0.158455980993449,0.268545325715688,0.278320119725803,0.366183522611056,0.318499697089839,0.39441883595875,0.342482477982516,0.399828744743333,0.327811334442422
"FXH",0.469485732782056,0.262779207722923,0.899782925773312,0.540357920688106,0.365838004204994,0.572745827119962,0.766591800156046,0.858631717635805,0.595333649723617,1,0.308408587818255,0.684511287504442,0.634767849142691,0.320825739484342,-0.0688851073360151,0.481015431059042,0.432644843834842,0.262738339756198,0.248461870286628,0.521214565655008,0.470095803339944,0.488524049132618,0.471810035647202,0.31256098215819,0.27150337813258,0.349451134327247,0.358938261175101,0.233673995738371,0.343222984767655,0.252911075657174,0.305924186992218,0.557318864806807,0.458843854972789,0.513320774512085,0.410441569532519,0.344219514263703,0.605467237548757,0.608172120416874,0.326849894215282,0.485182420387655,0.325754083221693,0.284635711795403,0.473883609359713,0.507558739346082,0.448698492098944,0.519832355872456,0.497696405337984,0.396477709650347,0.512484262280979,0.408329468696466,0.513661898806373,0.382327761075764,0.579936532546642,0.393666120474488,0.343263481075894,0.326001857193211,0.429699227998327,0.42645227141428,0.139073663709254,0.263985879459938,0.310079533474464,0.324594702514654,0.358950351239197,0.228077805506234,0.374036814346187,0.399055210491609,0.41734597065182,0.494453475718501,0.33996185976012,0.530832448460666,0.492326040357622,0.182952444687173,0.458646648498675,0.381581343252249,0.514868766039455,0.406377803228463,0.418053733306287,-0.00249942778877129,0.632548105572034,0.58120890162771,0.67941942547028,0.522372767516267,0.564421360162506,0.467782939098456,0.321820533423805,0.708163722286435,0.542171481828206,0.592100274648356,0.0744413842774668,0.59747103466834,0.384833962383573,0.498429364689058,0.518179516273456,0.499299165302304,0.280944779726354,0.271588621428898,0.473074048790658,0.504414196654228,0.402534558556767,0.349988377470547,0.622833649191764,0.392930502161137,0.619950364496476,0.629712554867406,0.590393170383206,0.50548141908716,0.411921172082316,0.391367440954172,0.450903870468915,0.496571888686867,0.436843560358891,0.567605653353485,0.567503131822421,0.490623690604877,0.514832152043375,0.345725282993716,0.501172389054672,0.355869578975669,0.428622944487116,0.471315931931873,0.460952166866938,0.189425619498485,0.270155625831737,0.424476814802576,0.495758523605491,0.463721597199389,0.701738967983406,0.679773962062432,0.746969371158421,0.598947773566906,0.609631195236485,0.535721688418029,0.497264647005244,0.593288847087383,0.516522094835755,0.428914428635087,0.563323273939918,0.580100397747361
