"","ETIHX","VHCIX","CHGCY","TAK","D","EIX","AES","NRG","AMD","AVGO","TXN","CRM","CRWD","ORCL","FTNT","IBM","CSCO","AKAM","SMCI","APO","CME","CBOE","V","PYPL","FI","VRSK","ROST","ULTA","AZO","CMG","NKE","CROX","LVS","TSLA","GM","LYV"
"ETIHX",0.00428235056307691,0.000689335743285399,0.000807646275010718,0.000103891078418312,0.000665427641699776,0.000958266196735814,0.00115668214391974,0.00150749880185368,0.00241780633139197,0.00150255702436144,0.00120233949422435,0.00152795080305007,0.00151616667216577,0.00188806656522859,0.00147470245788415,0.0007565019468242,0.00100428496165088,0.000772096500878068,0.0023154210521094,0.00188045948244407,0.000374285488859772,0.000427275514428128,0.000915819263717258,0.00189136875665362,0.00106552195127412,0.0010085172493588,0.00123902781192975,0.0011054904037447,0.00042112940997355,0.00137552535280287,0.00155211033737136,0.00196430601146786,0.0011064330538045,0.00224549149472404,0.00150191267234087,0.00151112962514563
"VHCIX",0.000689335743285399,0.00161818935571138,0.000765870273785155,9.8517248372144e-05,0.000631007986913645,0.000908699287250942,0.00109685204730803,0.00142952249744624,0.00229274380911133,0.00142483633643978,0.00114014774303526,0.00144891660627875,0.00143774201682552,0.00179040515876462,0.00139842256457678,0.000717371417487891,0.000952337703195212,0.000732159333624363,0.0021956544714868,0.00178319155702441,0.000354925341323515,0.000405174425168272,0.000868447947997468,0.00179353654230347,0.00101040717179755,0.000956351073213616,0.00117493833490096,0.00104830823143657,0.000399346231753676,0.00130437545636619,0.00147182647380079,0.0018627010726704,0.00104920212234118,0.00212934206354597,0.0014242253139245,0.00143296551416619
"CHGCY",0.000807646275010718,0.000765870273785155,0.00820791139098748,0.000115425740572871,0.000739307739511513,0.00106465913250818,0.00128510450658504,0.00167487110795076,0.00268624689060407,0.00166938066223132,0.00133583103240167,0.00169759382312736,0.00168450134151069,0.00209769197567569,0.00163843350090692,0.000840493705392232,0.00111578719953222,0.000857819668102174,0.00257249413276507,0.00208924030516297,0.000415841094298462,0.000474714416602187,0.00101749946535191,0.00210136079783588,0.0011838231173928,0.00112048938330432,0.00137659272537849,0.00122822912699637,0.000467885931720632,0.00152824510960169,0.00172443570583169,0.00218239602030597,0.001229276436187,0.00249480054182324,0.00166866477006526,0.00167890504882174
"TAK",0.000103891078418312,9.8517248372144e-05,0.000115425740572871,0.00293696156376127,9.51003932257801e-05,0.000136951768176869,0.000165308622351512,0.000215446007739426,0.000345543705205588,0.000214739747654488,0.000171833797585478,0.000218368930134206,0.000216684786869495,0.000269835308210262,0.000210758878722807,0.000108116387283336,0.000143528595415378,0.000110345101766724,0.000330911189646974,0.000268748132807898,5.34914616386301e-05,6.10645949934787e-05,0.000130885413597758,0.000270307244876772,0.000152280353575374,0.000144133457912884,0.000177077152718221,0.000157992493120508,6.01862170695559e-05,0.000196584863245886,0.000221821719092954,0.000280731160534866,0.000158127213089657,0.000320917122691077,0.000214647659309051,0.000215964911225183
"D",0.000665427641699776,0.000631007986913645,0.000739307739511513,9.51003932257801e-05,0.00391485732676756,0.000877183041238751,0.00105881013460167,0.00137994263825456,0.00221322500795822,0.00137541900648655,0.00110060421387893,0.00139866410486788,0.00138787708159329,0.00172830887428768,0.00134992133849182,0.000692490959901025,0.000919307954232399,0.000706765989530923,0.00211950300152088,0.00172134546053625,0.000342615532644174,0.000391121836990193,0.000838327731593785,0.00173133165264179,0.000975363410406261,0.000923182129295318,0.00113418817020796,0.00101194995474141,0.000385495781708683,0.00125913604839937,0.00142077939377513,0.00179809736264543,0.00101281284299636,0.0020554904943191,0.00137482917594994,0.00138326624147492
"EIX",0.000958266196735814,0.000908699287250942,0.00106465913250818,0.000136951768176869,0.000877183041238751,0.00716543388624257,0.00152476677728373,0.00198722190183737,0.0031872116185002,0.00198070752951779,0.00158495341649936,0.00201418223153308,0.00199864810111878,0.00248889566342308,0.00194398895667263,0.000997239424444714,0.00132387307308271,0.0010177965481566,0.00305224483168361,0.00247886782028323,0.000493392313206123,0.00056324506483609,0.00120725541986876,0.00249324869316732,0.00140459717504037,0.00132945217856373,0.00163331685691875,0.0014572845695739,0.000555143119170794,0.00181325126378957,0.00204602992234545,0.00258939637172502,0.00145852719400736,0.00296006197366004,0.00197985812887734,0.00199200814217043
"AES",0.00115668214391974,0.00109685204730803,0.00128510450658504,0.000165308622351512,0.00105881013460167,0.00152476677728373,0.0133401751206838,0.00239869057021034,0.00384714683724681,0.00239082734998346,0.00191312948537078,0.0024312332311739,0.00241248264669878,0.00300423951274411,0.00234650593104487,0.00120372506031955,0.00159799056845276,0.00122853868518588,0.00368423420100362,0.00299213533215066,0.000595552760367395,0.000679869029468056,0.00145722638664411,0.00300949386878241,0.00169542917959906,0.00160472486807736,0.00197150692594228,0.00175902588025925,0.0006700895173513,0.00218869805322322,0.00246967521672366,0.00312554961962268,0.00176052579906957,0.00357296421546665,0.00238980207479668,0.00240446783622328
"NRG",0.00150749880185368,0.00142952249744624,0.00167487110795076,0.000215446007739426,0.00137994263825456,0.00198722190183737,0.00239869057021034,0.0123857282708982,0.0050139697220978,0.00311595487531721,0.00249337332831475,0.00316861568434121,0.00314417812923682,0.00391541227618145,0.00305819096299472,0.0015688096299677,0.00208265415004381,0.00160114911921483,0.00480164639262097,0.0038996369503169,0.000776181319486848,0.000886070345883748,0.00189919680479479,0.00392226025552814,0.00220964546769271,0.00209143093342269,0.00256945639243001,0.00229253077075635,0.000873324750323014,0.00285252064294202,0.00321871695672773,0.0040735152102792,0.00229448560841104,0.00465662870495198,0.00311461863863044,0.00313373246164144
"AMD",0.00241780633139197,0.00229274380911133,0.00268624689060407,0.000345543705205588,0.00221322500795822,0.0031872116185002,0.00384714683724681,0.0050139697220978,0.0234953354738607,0.00499753327605287,0.00399900405380779,0.00508199346754216,0.00504279922381709,0.00627974535019244,0.00490488845751798,0.00251613988111994,0.00334027090693795,0.00256800766486847,0.00770113451162211,0.00625444404799028,0.00124488066342465,0.00142112649754818,0.00304603231096825,0.00629072850175536,0.00354394630055404,0.00335434757644948,0.00412103009714751,0.003676882134586,0.00140068443709266,0.00457502351739905,0.00516234853876211,0.00653331920020356,0.00368001740663566,0.00746854747209759,0.00499539014896213,0.00502604590950819
"AVGO",0.00150255702436144,0.00142483633643978,0.00166938066223132,0.000214739747654488,0.00137541900648655,0.00198070752951779,0.00239082734998346,0.00311595487531721,0.00499753327605287,0.00999810331602776,0.0024851997256701,0.00315822854927271,0.00313387110365805,0.00390257704458093,0.0030481658145506,0.00156366686759239,0.00207582693838025,0.0015959003437801,0.00478590597011476,0.00388685343229001,0.000773636895988915,0.00088316569183928,0.00189297099021256,0.00390940257535907,0.00220240196194355,0.00208457495031965,0.00256103337958794,0.00228501555618419,0.000870461878001483,0.00284316970860487,0.0032081655831604,0.00406016169666067,0.00228696398562634,0.00464136366932105,0.00310440851291333,0.00312345967832206
"TXN",0.00120233949422435,0.00114014774303526,0.00133583103240167,0.000171833797585478,0.00110060421387893,0.00158495341649936,0.00191312948537078,0.00249337332831475,0.00399900405380779,0.0024851997256701,0.00555320873251071,0.00252720053549463,0.0025077098150986,0.00312282491371474,0.00243912882130796,0.00125123932086065,0.00166106754733657,0.00127703240613346,0.00382966081833636,0.00311024294860944,0.000619060827080367,0.000706705285740228,0.00151474702527233,0.0031282866732956,0.00176235232212055,0.00166806766785123,0.00204932759847438,0.00182845935533452,0.000696539750018914,0.00227509184278098,0.00256715992944382,0.00324892345627062,0.00183001847996807,0.00371399870767258,0.00248413398011849,0.00249937863853114
"CRM",0.00152795080305007,0.00144891660627875,0.00169759382312736,0.000218368930134206,0.00139866410486788,0.00201418223153308,0.0024312332311739,0.00316861568434121,0.00508199346754216,0.00315822854927271,0.00252720053549463,0.00895205218338953,0.0031868347036777,0.00396853206404352,0.00309968096295825,0.00159009342560955,0.00211090919417119,0.00162287165966495,0.00486678958055965,0.00395254271679265,0.000786711650426571,0.000898091524110763,0.00192496291172374,0.00397547294885828,0.00223962338322622,0.00211980505080171,0.00260431580667791,0.00232363317827309,0.000885173011042342,0.0028912203457414,0.00326238478781912,0.00412877995599686,0.00232561453690545,0.00471980446053314,0.00315687418407115,0.00317624732133872
"CRWD",0.00151616667216577,0.00143774201682552,0.00168450134151069,0.000216684786869495,0.00138787708159329,0.00199864810111878,0.00241248264669878,0.00314417812923682,0.00504279922381709,0.00313387110365805,0.0025077098150986,0.0031868347036777,0.0217088028554133,0.00393792525316462,0.00307577505833478,0.00157783002746333,0.00209462906906551,0.00161035546345776,0.0048292550700969,0.00392205922176945,0.000780644234487312,0.000891165104722734,0.00191011687423753,0.0039448126072669,0.0022223505659164,0.00210345631750612,0.0025842303443262,0.00230571244584819,0.000878346224082612,0.00286892216774931,0.00323722405014493,0.0040969372531449,0.00230767852349807,0.00468340355456143,0.00313252718382998,0.00315175090818141
"ORCL",0.00188806656522859,0.00179040515876462,0.00209769197567569,0.000269835308210262,0.00172830887428768,0.00248889566342308,0.00300423951274411,0.00391541227618145,0.00627974535019244,0.00390257704458093,0.00312282491371474,0.00396853206404352,0.00393792525316462,0.0106309507593723,0.00383023064443866,0.00196485529932655,0.00260841976311828,0.00200535888600205,0.00601382103973177,0.00488409949869926,0.000972128134414508,0.00110975862298961,0.002378648648684,0.00491243405267157,0.00276747001286468,0.00261941224366125,0.00321811513176303,0.00287127969368888,0.0010937954044434,0.00357263889426688,0.00403128139236942,0.00510187328973065,0.0028737280297086,0.00583219366655051,0.00390090347521662,0.00392484257892694
"FTNT",0.00147470245788415,0.00139842256457678,0.00163843350090692,0.000210758878722807,0.00134992133849182,0.00194398895667263,0.00234650593104487,0.00305819096299472,0.00490488845751798,0.0030481658145506,0.00243912882130796,0.00309968096295825,0.00307577505833478,0.00383023064443866,0.011511066118576,0.00153467944015668,0.0020373450315288,0.00156631536863691,0.00469718432172656,0.00381479851819234,0.000759295130585525,0.000866793469637428,0.00185787888693024,0.00383692964278061,0.00216157359345967,0.00204593087186595,0.00251355666265428,0.00224265568785345,0.000854325160490183,0.00279046271754195,0.00314869225864929,0.00398489397500049,0.00224456799709747,0.00455532156191596,0.0030468586483201,0.00306555664114054
"IBM",0.0007565019468242,0.000717371417487891,0.000840493705392232,0.000108116387283336,0.000692490959901025,0.000997239424444714,0.00120372506031955,0.0015688096299677,0.00251613988111994,0.00156366686759239,0.00125123932086065,0.00159009342560955,0.00157783002746333,0.00196485529932655,0.00153467944015668,0.00504825574631988,0.00104512979853271,0.00080349810185749,0.00240959053467409,0.00195693883218665,0.000389507891189268,0.000444653051040573,0.000953066150674798,0.00196829179274281,0.00110885733112712,0.00104953421577325,0.0012894197731786,0.00115045132314466,0.000438256981044847,0.00143146874616973,0.00161523554184352,0.00204419544692501,0.00115143231131505,0.00233681690267476,0.00156299630941104,0.0015725881208946
"CSCO",0.00100428496165088,0.000952337703195212,0.00111578719953222,0.000143528595415378,0.000919307954232399,0.00132387307308271,0.00159799056845276,0.00208265415004381,0.00334027090693795,0.00207582693838025,0.00166106754733657,0.00211090919417119,0.00209462906906551,0.00260841976311828,0.0020373450315288,0.00104512979853271,0.00406653424137521,0.00106667413586713,0.00319882261753365,0.0025979103534183,0.000517086465154377,0.000590293751637896,0.00126523138056593,0.00261298183817076,0.00147205006800344,0.00139329638748976,0.00171175354259794,0.00152726766638981,0.000581802726681067,0.00190032892960364,0.00214428630488961,0.00271374681141312,0.00152856996530816,0.00310221286718409,0.00207493674701951,0.0020876702397334
"AKAM",0.000772096500878068,0.000732159333624363,0.000857819668102174,0.000110345101766724,0.000706765989530923,0.0010177965481566,0.00122853868518588,0.00160114911921483,0.00256800766486847,0.0015959003437801,0.00127703240613346,0.00162287165966495,0.00161035546345776,0.00200535888600205,0.00156631536863691,0.00080349810185749,0.00106667413586713,0.0061291279913317,0.00245926190696653,0.00199727922856866,0.000397537218660346,0.000453819142507725,0.000972712685182744,0.00200886621939772,0.00113171534974939,0.00107116934589812,0.00131599991145237,0.00117416676157868,0.000447291223731306,0.00146097708627682,0.00164853205624477,0.00208633455380711,0.00117516797186894,0.00238498811711212,0.00159521596269208,0.00160500550006819
"SMCI",0.0023154210521094,0.0021956544714868,0.00257249413276507,0.000330911189646974,0.00211950300152088,0.00305224483168361,0.00368423420100362,0.00480164639262097,0.00770113451162211,0.00478590597011476,0.00382966081833636,0.00486678958055965,0.0048292550700969,0.00601382103973177,0.00469718432172656,0.00240959053467409,0.00319882261753365,0.00245926190696653,0.0487459518366997,0.00598959115539239,0.00119216450798104,0.00136094697387907,0.00291704395287976,0.00602433909488661,0.00339387310112795,0.00321230319143546,0.00394651950382576,0.0035211795874668,0.00134137056012225,0.00438128795865249,0.00494374190760534,0.0062566569620954,0.00352418209218094,0.00715228172788243,0.00478385359663934,0.00481321119754193
