"","ETIHX","VHCIX","CHGCY","TAK","D","EIX","AES","NRG","AMD","AVGO","TXN","CRM","CRWD","ORCL","FTNT","IBM","CSCO","AKAM","SMCI","APO","CME","CBOE","V","PYPL","FI","VRSK","ROST","ULTA","AZO","CMG","NKE","CROX","LVS","TSLA","GM","LYV"
"ETIHX",0.0014977015971555,0.000435666580754736,0.00104809743131136,4.65640365738491e-05,0.000128788135994673,3.60848892870902e-05,0.000385765131174079,3.4195850113438e-05,6.70848878101116e-05,0.00041407539521137,0.000127137912445888,0.000898394177624898,0.000807952965326536,0.000329904748107787,0.00036476250915555,0.000161386349697939,-1.0301432614826e-05,0.000185912458028703,-0.000357949959108732,0.000746190140886327,-0.000115962271935245,0.000154146208600484,3.39608455276901e-05,0.0009977424507518,0.00042473765026266,-0.000101910875957894,0.000361059753203555,0.000644245883740723,0.000221580272455219,0.000373238106533456,0.00018518839636352,0.00084189327926515,0.000253280963244635,0.00144668197151801,0.000491596079359085,0.000537527672699362
"VHCIX",0.000435666580754736,0.000860743671623036,0.000742088665321634,8.24775082222247e-05,0.000307916726318219,0.000179095409827843,-4.99175523280037e-06,0.000482054843516346,0.000283313295762531,0.000334759108605916,0.00037177529737836,0.000700726202297175,0.000860617317284611,0.000331153633273457,0.000774341892887702,0.000345772941978171,0.000325273879195688,0.000564803782163135,-4.77225254144532e-05,0.000463555792981688,-3.54366772579616e-05,0.00020502106109141,0.000266325913769127,0.000857221444204135,0.000494817977623812,0.000438939547007792,0.000380946886471205,-0.000134811542034068,0.000362878281535622,0.000836324781492328,0.00017468399400313,0.000713575749028628,-0.000586662364500721,0.000801374853726458,0.000565941873867518,0.000209168847567935
"CHGCY",0.00104809743131136,0.000742088665321634,0.00344449091148757,0.000396547272547706,-0.000238681793603759,3.17730702915867e-05,0.000566844240877951,0.000538005789554483,0.000423516584902489,0.00100421787790125,0.000672413691146137,0.00112995311603224,0.00102716961157569,0.00069030334397718,0.000442428081251295,0.000646898946770105,0.000200200178774795,0.00106741907462824,2.19907777277779e-05,0.000804558185119335,-2.05345162758126e-05,0.000387297113864051,4.18685664479496e-06,0.000954951572928417,0.000844354430699552,0.000698549075638257,0.000704656352523294,8.46341170300751e-05,0.000208952703279015,0.000720250700299617,0.000199890578434366,0.00128109580741882,-0.00050653831334023,0.00104755800671261,2.16130428655072e-05,0.000281410371601149
"TAK",4.65640365738491e-05,8.24775082222247e-05,0.000396547272547706,0.000989232803171497,0.000306759864780218,0.000164583165468986,0.000286615827241748,0.000200060140562916,6.26950272217205e-05,0.000556403505820555,0.000852519376928926,-0.000447505808426571,-0.00102987042167587,2.63964525236989e-05,0.000416140852266902,7.91205080613951e-05,0.000285019543988143,1.84464279329234e-05,1.27244638935098e-05,3.86328646397337e-05,-0.000113913569337505,-0.000197524105804918,0.000338376659439854,0.000579003332100644,0.000925085702676172,4.29320199873318e-05,8.88687039927745e-05,0.000378643380457187,7.90674269052572e-05,0.000312699755908183,0.000368179364713588,0.000371713415762689,0.000189064640780256,-0.000269831953979145,0.000317724151409394,0.000319456526448981
"D",0.000128788135994673,0.000307916726318219,-0.000238681793603759,0.000306759864780218,0.00159202427094486,0.000798930798875063,0.000639800984459525,0.00014275522972014,-0.000526760784268992,0.000189165706509767,0.000826399875695313,1.45129912952755e-05,9.38675638343121e-05,0.000108671685934542,0.000245877573586957,-8.00422402094411e-05,-2.84426553123875e-05,3.42000391650489e-05,-0.000274998381078682,0.000246028861132792,0.000121883197327555,-0.000111068916106527,0.000533287933177688,0.00110355859375087,0.00121055659513995,0.00027077468155417,0.000421495257079953,0.000632077782389757,0.00028187049883789,0.000969162289429341,0.000915096603444195,0.000585926898075172,0.000281843066680598,0.000598960081077359,0.000676573533868033,0.000621629956761117
"EIX",3.60848892870902e-05,0.000179095409827843,3.17730702915867e-05,0.000164583165468986,0.000798930798875063,0.00194233422703441,0.00068114644739513,0.000470423317465337,0.00048257779459051,0.000101874464695031,0.000732826612367651,0.000446172422418398,2.48456382860828e-05,0.000334069819330553,0.000126330818439952,-0.000150766658780901,8.15951730365433e-05,0.000136106449837851,1.24742653696354e-05,0.000461968316649744,0.000347875702552003,2.13848047547675e-06,0.000550590177786799,0.000448367047658442,0.000794435434788775,0.000242294552095911,0.00057600112596423,0.000686001282441198,-0.0001385241951146,0.000961436825499589,0.00114536647039672,0.000738389965241226,0.00093731836090004,0.00012211792856275,0.000617388099398941,0.000171319848180811
"AES",0.000385765131174079,-4.99175523280037e-06,0.000566844240877951,0.000286615827241748,0.000639800984459525,0.00068114644739513,0.00314080591336267,4.46036944543611e-05,-0.00137826718035155,0.000331478672682801,0.000430809355818256,-0.000801252126973533,-0.00110012571860735,-0.000484161539926333,-0.00151627965309878,-0.000344752220813863,-0.00039472869869455,-0.000125898889504359,-0.00140201276624876,-0.00023017455174536,3.22747833035324e-05,-0.000502059234434438,-1.87760146474612e-05,0.000421701131799069,8.14005282235273e-05,-0.000676165282770363,0.000539039520598201,0.000794750526436699,-0.000107511826703307,-0.000201031801663494,0.000864169060171144,0.000413914567543438,0.0012426218164735,-3.46835383346953e-05,7.24620592696125e-05,0.000252173057014202
"NRG",3.4195850113438e-05,0.000482054843516346,0.000538005789554483,0.000200060140562916,0.00014275522972014,0.000470423317465337,4.46036944543611e-05,0.00421007738844714,0.00205816961738246,0.000923282084426921,0.000758031473557643,0.000654443730819225,0.00176915517323939,0.00123659771775817,0.000892638769230135,0.000535852720324389,0.000948329704808595,0.000536468234444038,0.0023566096853755,0.00112749693313986,-0.0001069770690499,0.000268544512290884,0.000412514986709214,0.00167149830975429,6.40606675155764e-05,0.000752296302365083,0.000969383880305106,0.000553835655651361,-0.000206971413284921,0.00154235765911669,0.000521082107183947,0.00147991105654498,-0.000168811611591577,0.00045376142114695,0.0017578397367989,-0.000336005024894856
"AMD",6.70848878101116e-05,0.000283313295762531,0.000423516584902489,6.26950272217205e-05,-0.000526760784268992,0.00048257779459051,-0.00137826718035155,0.00205816961738246,0.00743129977228846,0.00182483498093869,0.000298122321189011,0.00148134913124115,0.00240856062344556,0.00108776231772132,0.00189651303505875,6.4670004924228e-06,0.000773744491360839,0.000741890573461151,0.00603755911444643,0.00161785653007606,9.91471121833809e-05,0.00048217000271858,0.000109113295018047,-0.000537115793232525,-0.00153766333578868,0.00075605400335349,0.000154721734729888,1.23345469761119e-05,-0.00044052345930794,0.000332301921145858,0.000311480719671813,0.00108015834259615,-0.000798852305119474,0.000152215999521505,0.00185126653085093,-0.000379136938002931
"AVGO",0.00041407539521137,0.000334759108605916,0.00100421787790125,0.000556403505820555,0.000189165706509767,0.000101874464695031,0.000331478672682801,0.000923282084426921,0.00182483498093869,0.00384057410777012,0.000873494762526456,0.000878193656153658,0.00173120534987798,0.00149846697530931,0.000539732006017627,0.000433775584760983,0.00113832429875779,0.0015070551633899,0.00149876869464926,0.000960168083078402,5.80755570152138e-06,-0.000155521581833721,0.000834268433449497,0.000937526941593388,0.000153382502904116,0.000627978006884727,0.00103990771505049,0.000707647689772158,-4.0809046094488e-05,0.000520080483901374,0.000749536925673681,0.0001534120577307,0.000379488155605877,0.000541274090609614,0.00106620997407565,0.00139106965754846
