"","ETIHX","VHCIX","CHGCY","TAK","D","EIX","AES","NRG","AMD","AVGO","TXN","CRM","CRWD","ORCL","FTNT","IBM","CSCO","AKAM","SMCI","APO","CME","CBOE","V","PYPL","FI","VRSK","ROST","ULTA","AZO","CMG","NKE","CROX","LVS","TSLA","GM","LYV"
"ETIHX",0.00428235056307691,0.000651289162444512,0.00130191804831044,8.83930009215074e-05,0.000565091252789636,0.000130625096734034,0.00113150977491872,0.000388257553515102,0.00172519426290354,0.000699804638258953,0.000471690491916224,0.00126023448820543,0.00105313770151957,0.000947603895217605,0.000477979475683002,0.000334626270890295,0.000358019534748747,0.00018341569359743,0.00060130643628665,0.00129380151443934,-8.28725472048393e-05,0.000145209424827383,0.000248630510991739,0.00198007634543431,-0.000327428960186926,4.0379475024005e-05,0.000733501433087404,0.000701206776083105,-0.000200134043267584,0.00016196932777752,0.000647453556038966,0.00083925323726525,0.00157271165553659,0.001534155388909,0.00110663131888258,0.00141357801685901
"VHCIX",0.000651289162444512,0.00161818935571138,0.000805805678488995,0.000272359207966476,0.000686056496589548,0.000618475175398418,0.000964714792633833,0.00078134615918242,0.00108629955749385,0.000454647583366992,0.000676523643637474,0.000758671413927359,0.000625659214581741,0.00078967986059565,0.000993030246991693,0.000763468602659038,0.000739950873337344,0.000830355072806379,0.000188064328157644,0.00104090494185998,0.000156799531816459,0.000467525376315069,0.000635956248524328,0.00106944200697442,0.000589047713575107,0.000623259302252749,0.000884418462161608,0.000483881679109525,0.000623150940069454,0.000828114585792639,0.00106319128329486,0.00097820753030495,0.000311450585321392,0.00047380171194626,0.000859907296876623,0.000617722047799847
"CHGCY",0.00130191804831044,0.000805805678488995,0.00820791139098748,0.00107683939024743,0.000229701654451293,0.00048600518414957,-0.000287852038654975,0.000715962822042345,0.00105131848351402,0.00144136520331063,0.000521619280336058,0.00125907304746043,0.00183634659973952,0.000394404730430041,0.00108379987894848,0.000474359993780527,0.000468362996965696,0.00119413257955456,2.01606405560979e-05,0.00125654354629241,0.000571083487629819,0.00060911908276068,0.000306704220027865,0.000961726999744346,0.000256762990917536,0.000686440372698764,0.00120690559468994,0.000348547494269201,-0.000178188689563075,0.000678932886773054,0.000472134698030889,0.000666693003562281,0.000424046404697818,0.0015930038029938,0.000250916404506691,0.000607881760060216
"TAK",8.83930009215074e-05,0.000272359207966476,0.00107683939024743,0.00293696156376127,0.000388213906665227,0.000349416795283387,-0.000475723346846809,-0.000330755435134836,-0.000605461637906616,-0.000347521474148378,0.000993094443296329,-0.000315536320755503,-0.000997516873508783,-0.000388869848120761,-0.000230703354764129,0.000472658479917147,0.00039729092879046,0.000497073351906978,-0.000671616201424157,-3.85366250530154e-05,-4.14402033294344e-05,0.000146044748557463,0.000432750142287807,1.9751273132756e-06,0.00123459459176145,0.000267593978303269,0.000155471178254212,-4.31599322362208e-05,0.000356518621923282,0.000414771875572749,0.000371254024997223,-7.76921298801189e-05,3.81863858917409e-05,-0.00147168272773135,8.3277980800676e-05,5.89307184300231e-05
"D",0.000565091252789636,0.000686056496589548,0.000229701654451293,0.000388213906665227,0.00391485732676756,0.00135572233668891,0.00185127835427514,0.00139914602524693,0.000244387232979559,-5.9668303887549e-05,0.000794876632764015,0.000411308132832519,-0.000191326877164518,0.000820082868348105,0.000304960593423291,0.000578337804528712,0.00040025633367761,0.000653574598071074,-0.000970807774805126,0.000816050740286236,0.00027243459824873,0.000269689157962958,0.000846496799822711,0.00181083120068378,0.00116635294944269,0.000632081955143845,0.000256387595008136,0.000682807482309054,0.000638396171560874,0.000571955958739424,0.00126298986871603,0.000122586280019323,0.000635473089119441,0.000820024109705374,0.00111429741290384,0.000755432877446951
"EIX",0.000130625096734034,0.000618475175398418,0.00048600518414957,0.000349416795283387,0.00135572233668891,0.00716543388624257,0.00286903962374722,0.000964132842463737,0.00200585088260792,0.000489015749986292,0.00139027469652488,0.000561827919049027,-0.00126404234497455,0.000594859418729146,0.000229101006581337,-2.95334655246598e-05,0.000931911084982893,0.000788187325223459,-0.00017069745392878,0.0012228580498285,0.000346453560063371,0.000455279664921639,0.000568913161476871,0.00108455380961371,0.000757134042881078,0.00106101810245422,0.00133197899825383,0.00116347745802566,0.000645571230181341,0.00105468506035119,0.0019082354378894,0.00189162917039164,0.00151623499149038,0.00154834070743398,0.00162937187655528,0.000474213901798108
"AES",0.00113150977491872,0.000964714792633833,-0.000287852038654975,-0.000475723346846809,0.00185127835427514,0.00286903962374722,0.0133401751206838,0.00171190240471811,0.00255007043069443,0.00100213943968045,0.00143261158394683,-0.000473977157362516,-0.00112982346076884,0.00163277494823177,-0.000217346361166721,0.000329425212425665,0.000834777729656389,0.000189947940367706,0.00068566713598378,0.00142763657811798,-1.12530750681985e-05,0.000187834608887039,0.000552657785251004,0.00254146799432382,7.93403377121195e-05,7.98437338184118e-05,0.00101226720041806,0.00198873675373035,0.000637598978214391,0.000191697659860872,0.00277448181083021,0.00330809236997675,0.00263680269868368,0.000239670818235189,0.00159503017828698,0.000712942875287091
"NRG",0.000388257553515102,0.00078134615918242,0.000715962822042345,-0.000330755435134836,0.00139914602524693,0.000964132842463737,0.00171190240471811,0.0123857282708982,0.00298534216443018,0.00181701516991121,0.00121173101679428,0.000834088150063879,0.00281015018204226,0.00237558387562697,0.00210356800030776,0.00164732679303698,0.00122959694359532,0.000381098245503141,0.00328872066179779,0.00180577577723342,0.000177659147432113,0.000395935347641289,0.00119465830425983,0.00314158951067215,0.000328091431896215,0.000833402991428884,0.000951026894901902,0.00139736309344301,0.000247085034701505,0.0022035061081056,0.00157133021106933,0.000709590382867935,0.000234230594661208,0.0031375020129611,0.00241581984493012,0.000978164565618451
"AMD",0.00172519426290354,0.00108629955749385,0.00105131848351402,-0.000605461637906616,0.000244387232979559,0.00200585088260792,0.00255007043069443,0.00298534216443018,0.0234953354738607,0.00459129066432278,0.00210513982170847,0.00401291279569096,0.00310733114959417,0.00329738452386065,0.00291915994365446,0.000611554067843976,0.00198014406864439,0.0019462953899181,0.00873032330258503,0.00355585880481748,0.000285671872267297,0.000773588329719805,0.000566905825738706,0.00183792204765284,-0.00258875161605186,0.00100747043056184,0.00170503250245295,0.00191770724740299,-0.00121077478349708,0.0016517063980943,0.0033072677834847,0.00501643663098496,0.00239270278014046,0.00445240539744087,0.00355236784949859,0.00229786933657901
"AVGO",0.000699804638258953,0.000454647583366992,0.00144136520331063,-0.000347521474148378,-5.9668303887549e-05,0.000489015749986292,0.00100213943968045,0.00181701516991121,0.00459129066432278,0.00999810331602776,0.00135582532699158,0.00205947311988089,0.00245363854514529,0.00270023567531481,0.00171837886295553,0.000795262378795396,0.0015591651977339,0.00127769969754117,0.00483217506912424,0.00189195805439548,-4.97547024546467e-05,-0.000392230081848639,0.000699015513844484,0.00168564956661626,-0.000578556509882891,0.0007727869136683,0.00166263538818663,0.0017585032954315,-0.000320196507507841,0.00120677696686746,0.00134815887768372,0.00153021057591601,0.00142334983946453,0.00405258605985823,0.00182491303162602,0.00193193839296794
