"","ETIHX","FBTDX","VHCIX","PRHSX","FBIOX","SHSKX","PJP","IXJ","XBI","FXH","LLY","ABT","TMO","AMGN","PHAR","NRIX","ELV","CHGCY","TAK","NEE","DUK","D","AEP","SO","ED","EIX","EXC","XEL","AES","CNP","ETR","EVRG","LNT","ATO","NI","NRG","AWK","WTRG","PEG","PPL","AMD","AVGO","QCOM","TXN","AMAT","KLAC","LRCX","MU","ADI","MCHP","MPWR","ON","SWKS","MSFT","CRM","NOW","ADBE","INTU","CRWD","PANW","SNPS","CDNS","WDAY","DDOG","ORCL","FTNT","IBM","CSCO","AKAM","NTAP","AAPL","DELL","HPE","GLW","FLEX","WDC","STX","SMCI","GS","MS","BLK","BX","KKR","APO","SCHW","TROW","BK","AMP","CME","ICE","CBOE","MA","V","PYPL","FIS","FI","COF","SYF","IBKR","VRSK","MSCI","AMZN","HD","LOW","TJX","ROST","ULTA","AZO","ORLY","MCD","CMG","SBUX","YUM","DPZ","NKE","DECK","RL","CROX","MAR","HLT","MGM","LVS","TSLA","GM","GE","TDG","NVR","DHI","LEN","ROP","TDY","CPRT","HUBB","MSI","EBAY","LYV","BBY","POOL"
"ETIHX",0.00428235056307691,0.00346661626525707,0.00108548193740752,0.00211638868006132,0.00298091319295371,0.00153318354815456,0.00106515503966345,0.00078959781582486,0.00410624339338393,0.00139533167499788,0.000297365093125451,0.00100077338388366,0.00167141661104228,-0.000157823403459632,0.000537310594748903,0.00738151335367135,-0.000373417067365619,0.00216986341385074,0.000147321668202512,0.00101613856894532,0.000165423012907635,0.000941818754649393,0.00055871850458559,-0.000118876208226564,-0.000384137289870614,0.000217708494556723,-0.000318794707778465,-3.47989108102625e-05,0.00188584962486454,-0.00052295338376032,-7.16177697677346e-06,0.00061425045670373,0.000155353444827185,0.000390747766662252,0.000224216551776588,0.000647095922525171,0.000396986224829448,0.000753097533738797,-2.42733703596053e-05,0.000520266131233919,0.0028753237715059,0.00116634106376492,0.00117392441700127,0.000786150819860374,0.00184196479739427,0.00176196564268477,0.00198075735857954,0.00209953293902919,0.000870353702155461,0.00131289114561607,0.00282511437609468,0.00272225371310821,0.00240520079140221,0.000744497318575565,0.00210039081367571,0.00170367287164376,0.00127572928093365,0.000847942158590765,0.00175522950253263,0.00112180493478749,0.00111424120779787,0.001081091131792,0.00216767081407597,0.0032036651609157,0.00157933982536267,0.00079663245947167,0.000557710451483825,0.000596699224581244,0.000305692822662383,0.00163984906901757,0.00106436332892406,0.000278077304450735,0.00146997203261425,0.00141194438985277,0.00239199103096849,0.00196474905443023,0.00193560552045555,0.00100217739381108,0.00243785659072931,0.00254278831316489,0.00219236108952126,0.0022456853585848,0.00263144079818323,0.0021563358573989,0.00233579810046898,0.00248711081459074,0.00162924129358818,0.00154383882190275,-0.000138120912008065,0.00137490036638609,0.000242015708045639,0.000502457774719718,0.000414384184986233,0.00330012724239052,0.000799727806772823,-0.000545714933644876,0.00213835418466246,0.00220908913504762,0.00201739953034051,6.72991250400083e-05,0.00181121832193025,0.00214947099789895,0.00124608354542232,0.00171607193011009,0.000856635784516124,0.00122250238847901,0.00116867796013851,-0.000333556738779307,0.00034528139044407,0.000178857431697433,0.0002699488796292,0.00124582493765735,-0.000174375149104487,0.000340345996968606,0.00107908926006494,0.0011779633649016,0.00241427641667751,0.00139875539544208,0.00109590666197441,0.000933678713838717,0.00256521124765775,0.00262118609256098,0.00255692564818167,0.00184438553147097,0.00200252676046339,0.000868649389561718,0.00129673852179485,0.002375833027208,0.00229226309626856,1.42063585890097e-05,0.00107029755800628,0.000825912361909871,0.00187074466074051,0.000657591942930875,0.00172602602602832,0.00235596336143168,0.00229660617469831,0.00144855166266762
"FBTDX",0.00346661626525707,0.00696799090214502,0.00118209493682759,0.00428146451954105,0.00437210958945391,0.00245923981338968,0.00140716172289648,0.00097121942539496,0.00329268659889951,0.000996227973085904,0.00130099700999108,0.00133434184387391,0.00229701293300228,0.00117647023729198,-0.00110653376889049,0.00574192974696682,-0.000630036500923538,0.00177656889647427,0.000221561163361,0.000398235005992354,0.000737551484256375,0.000954453786165694,0.00097225245603572,-0.000189556128461089,0.000253055591161837,-0.00127408092910396,-0.000148722911309114,0.000234800187570327,0.000874907693914902,-9.35548891438609e-05,0.000396835878356352,0.00014768294998603,-0.000181075987506189,0.000215098506603087,0.000264616016430873,0.00106811002851582,0.00016983267476787,9.47706887495078e-05,4.5176363374439e-05,0.000799421533032426,0.00158074484473832,-0.000589348475375873,0.00168956365112513,0.000392830489302812,0.00209538311524488,0.00192632518418431,0.00155777790212223,0.00157360995444558,0.000423972816861946,0.000396284620379818,0.00134557639369482,0.000338045685406756,0.00221908297511723,0.000453365862221068,0.00201830843477314,0.000530177301701189,0.000955207222682113,-0.000186363618915404,0.00105415093596105,-3.8463396409875e-05,-4.98778690871626e-05,-0.000505107625804806,0.00109663457256212,0.00115142479480471,0.0004583123252279,-0.00059567808233851,0.000747213964538596,-0.000283289727233257,0.00102457155171521,0.000513141375806292,0.000425154059502745,0.000323160665706469,0.00104116817059004,0.0022447385999424,0.000922034479902986,0.00159817815744014,0.00221562346197862,-0.000472145593233535,0.00179695946819008,0.00180095458583282,0.00115460109321657,0.00196300553636766,0.00177912687683229,0.000701886641977685,0.00113630915391492,0.00160441903668513,0.00100042251706654,0.000830976484797726,0.000175904124061141,0.000944737652761779,0.000166825833741984,0.000165818789941075,0.000156751737329141,0.00226351708265777,0.000702733804520359,-0.00106650082376663,0.00156118393120888,0.000652411577587222,0.00125987711048066,-0.000866334531878496,0.000447620828302559,0.00130743514195182,0.00105424908584926,0.00110880650462236,0.00018677377291822,0.000149641618694886,3.47975202776958e-05,-0.000830119646942151,-0.000238294674467866,-6.80516214899751e-05,-0.000375568783189187,0.000283940216003811,-0.000871904029752042,0.000308717462991086,0.000395976784544152,-0.000327975836813936,0.0012580236744673,0.000858455444858213,-7.56217145291199e-05,-0.000208605419764845,0.000950770671575698,0.000964209001264331,0.00122976280007393,0.00198714461110395,0.00197393369207081,-8.90627278310867e-05,0.00106701244117547,0.00187133136433978,0.00162907090147399,-0.000271423531743575,0.000849846784315858,-0.000898983473887726,0.00101398134293,-3.24766849941913e-05,0.00236128512601746,9.3588707606797e-05,0.00294805844187677,0.000501761330299127
"VHCIX",0.00108548193740752,0.00118209493682759,0.00161818935571138,0.0017950142609962,0.00123924753366131,0.00141629056870216,0.0013071033837874,0.00154244152482311,0.00172209894336135,0.00164386581258138,0.00198689591001165,0.0016276484059175,0.0020014910909096,0.00139543733514468,-0.000555983454439686,0.00345558292505973,0.00170658686528244,0.00134300946414832,0.00045393201327746,0.00151591368152052,0.00110101217400237,0.00114342749431591,0.00123631161165602,0.000786395955633567,0.000886580129203432,0.00103079195899736,0.000955034568025684,0.000677551029425526,0.00160785798772306,0.000707293934837791,0.000954521706623553,0.00112707956087708,0.00103790239150061,0.0012493373286566,0.000866377825739361,0.00130224359863737,0.00165275108699799,0.00161223255223944,0.000701427504462483,0.00123446902495422,0.00181049926248975,0.00075774597227832,0.00157612842665731,0.00112753940606246,0.00175296803580443,0.00181015461256543,0.00188115242575649,0.00168338169680886,0.00117845483059157,0.00111441203441374,0.0018156949304356,0.00129109729475294,0.00153756075678629,0.000969888681782115,0.0012644523565456,0.000925607164529357,0.00177498418684793,0.00115551711493806,0.00104276535763624,0.000794756396592782,0.00109062190490947,0.000907563607412307,0.00125696118183239,0.000949209039513163,0.00131613310099275,0.00165505041165282,0.0012724476710984,0.00123325145556224,0.00138392512134396,0.00146053903823745,0.00142239896790182,0.00050371945393702,0.00132895323708418,0.000903446328354889,0.00121439860229904,0.00181770275917875,0.00139994934082692,0.000313440546929407,0.0017344421903616,0.00138966784079191,0.00191616596153593,0.0018536477430429,0.00216605833334785,0.00173484156976664,0.000999347439136555,0.0021682305652421,0.00135588537950734,0.00142990853563557,0.000261332553027432,0.00158252594660942,0.000779208960525114,0.00108600984589395,0.00105992708087388,0.00178240334495737,0.00100395501772532,0.000981746189291845,0.00123519963074703,0.00143831291595527,0.00108806790132204,0.00103876550375458,0.00181857040691427,0.00103792095606257,0.00155450790984462,0.00147541837497533,0.00122408765326667,0.00147403077026935,0.000806469465182542,0.00103858490011576,0.0012035016398032,0.00100368867116656,0.00138019097632107,0.0017721241426569,0.0013729970610601,0.00189816387021217,0.0017719854721581,0.00123651476937042,0.00149971913651047,0.00163034588384158,0.00111176058892727,0.00124174666086505,0.00167263803958435,0.000519084308868987,0.000789669519910435,0.0014331788281277,0.00137586881415717,0.00105906497023725,0.00164498029504547,0.00249020924684006,0.00254045182946884,0.001509876361192,0.00138278230918861,0.00169313877612633,0.0013028355621837,0.00150331969538735,0.00168609250918877,0.00102953674633308,0.00209473738573429,0.00159707192725301
"PRHSX",0.00211638868006132,0.00428146451954105,0.0017950142609962,0.00442920397157476,0.00264347153410092,0.00265736895728581,0.00140166950279106,0.0016822046853704,0.00235410834029702,0.00163327121439829,0.00235193395587016,0.00194987183032316,0.00257309680430517,0.00160993511032676,-0.00176077438576455,0.00403627426476235,0.00150932721224507,0.00135655730447567,0.00040229557534282,0.00116493752972764,0.0010613158049069,0.0011330949613454,0.00123783888284889,0.000444968803886604,0.000932529732045559,-0.000995320140490132,0.000807020931595618,0.000450727813192873,0.000354923197795158,0.000556069501031347,0.000722070449386046,0.000814634377382692,0.000457990537321837,0.000930222471966357,0.00062050633149152,0.00181240435653861,0.00119099343594998,0.000976090949109187,0.000569248246023401,0.00118368902362972,0.00224875201297497,-0.000683213866174784,0.00223674111378309,0.000815540013862383,0.00241183984643113,0.00239598895945636,0.00217606462942488,0.00196483314908524,0.000867371931310068,0.000754099627133325,0.00182304109656089,0.000292174597643682,0.00174694270927356,0.00104951236830579,0.00217425613444322,0.0010969270450715,0.00214715823021835,0.000613008831582393,0.00216099848486897,0.0012068585617849,0.00153876769096912,0.000696199496039225,0.00135528781165878,0.00154093766193279,0.00156755277163728,0.00142034915261485,0.00152529509798239,0.000682711318231799,0.00167164465337398,0.00161018519755667,0.000870297349807638,0.000337926598372794,0.00110305280256491,0.0015380739460678,0.00108481056912674,0.0021896892892887,0.00215289489514081,0.00055896366406678,0.00207016983770948,0.00153051131563613,0.00169883395087914,0.00222142264894241,0.00272937749589464,0.00186406842961052,0.00116856936931967,0.00235913041511545,0.00153875101466927,0.00146795842394727,0.000486606024509066,0.00154425466791328,0.000847503956289822,0.000761420685722013,0.000895139011845618,0.00217927345980009,0.00107395196180031,0.000620812678029864,0.00189978334313636,0.0012699241981874,0.00174114679103843,0.000749692548183455,0.00143246653349092,0.00170090212484021,0.00155972293780575,0.00140879905402908,0.000781018882976143,0.000754960753167956,-0.000154614463186935,0.00044209693892681,0.00108325892367675,0.000522960126723631,0.00133127646523799,0.00187316824439518,0.000386564258212594,0.00195654828495191,0.0014720685004823,0.000672173054323716,0.00134662218753032,0.00194116497438165,0.000781488186572328,0.0007549337696252,0.00131550082717452,-0.00010942435976836,0.000766717391171658,0.00167179892030485,0.0023720061451971,0.000882637809565407,0.00143200058186725,0.00230776805700412,0.00244658799813873,0.00134543018120407,0.00118470361157547,0.0012602897731549,0.00118338156734332,0.0013554422696411,0.00220909201694902,0.000923710619008545,0.00245774334134543,0.00106083309753078
"FBIOX",0.00298091319295371,0.00437210958945391,0.00123924753366131,0.00264347153410092,0.00484866660546348,0.00160976188610689,0.00148827629715963,0.00100554373588279,0.00381579301767271,0.00115694823101868,0.00201514478250323,0.00141963147541411,0.00211017734268249,0.000847550936221577,-6.70279997084337e-05,0.00705817646300196,-0.000641773394251304,0.00213195709532412,8.84394345344821e-05,0.00126701693305636,0.000513512885879694,0.00060158416615259,0.000527154827654776,-0.000313768369088821,-1.30936120681984e-05,3.13278669827916e-05,-0.000315414071491978,-7.02378696560876e-05,0.00183142559521655,-0.000248963193795527,6.13560524243423e-05,0.000277743309823466,0.000204889296307734,2.42874625972993e-05,9.27218333995376e-05,0.00077079831412269,0.00110560547015613,0.000895764276106258,-9.03297324349114e-05,0.0005417466989851,0.00214055997532165,0.000743100657214496,0.00118664146318657,0.000898976831231256,0.00215947131950214,0.0018627076972812,0.00191090907005508,0.00157784514634471,0.000790864416768297,0.000916329814714062,0.00181144504005224,0.00205132001400279,0.00189563887025848,0.000807983577248866,0.00205175706479773,0.00118210535420844,0.000870276635096799,0.00074014852441965,0.00123509733581072,0.000278563726624097,0.000836053320625865,0.000528611466936715,0.00111609633053604,0.00261854019745861,0.000983883374867011,0.000415026320873924,0.000332133847114553,0.000678067596668585,0.000940135110449483,0.000911135452452596,0.000761530342269832,-0.000107667874967695,0.000871018573928354,0.00104524328079719,0.00144345920559506,0.0015582867609197,0.00148988223541511,0.000490747996227282,0.00180251217240446,0.00154113674513826,0.00183588354029545,0.00188672690881205,0.0014124886016648,0.000900986305443216,0.0010189979026075,0.00252495494400831,0.000769488280434569,0.000826759920592799,0.000148194059990864,0.000953185764271885,0.000416948763672847,-0.000638799242814604,-0.000521305381155725,0.00213645989032683,8.02683784093788e-05,-0.000713479502686173,0.00112684107508308,0.000869438397400536,0.000953507951802091,-0.000365636683452905,0.000877315608976242,0.00125062144211926,0.00117387732327036,0.00130495056020551,0.000150142263578441,0.000199919033395143,0.00076476780034493,-0.000443733759298254,0.000156518309236004,2.769936965773e-05,0.000357707144170705,0.000551450546482772,-0.000286380100279932,0.000869617615127514,0.000569184989832817,0.000920100541268463,0.00092508098904349,0.00172593212536451,-0.000355664258802333,-0.00020495662351706,0.00109975960901466,0.000296697106621387,0.00130226441560329,0.00258262375217021,0.001141494745056,-2.12271490259933e-05,0.00144919506733182,0.00254593891111893,0.00222246467861839,-0.000142207945653734,0.000421538849964864,-0.00017657000606552,0.00119899583635841,0.00109537164597666,0.00264913761524655,0.000905055342572241,0.00238030948978544,0.000918205320443574
"SHSKX",0.00153318354815456,0.00245923981338968,0.00141629056870216,0.00265736895728581,0.00160976188610689,0.0027294026501476,0.00127741512396047,0.00134980274663841,0.00155465211874038,0.0013589694190664,0.00202258955402389,0.00161621358852196,0.00137596389901408,0.00120376311878658,0.00074831354251812,0.00197656198287326,0.00205946717900792,0.000773672773112223,0.00071074590144306,0.000926979267266151,0.00077971306157488,0.000941670815706964,0.000881250856702339,0.000364207925948213,0.00053973550648293,0.000256124678237382,0.000492859391425402,0.000371139017229312,0.00083407076195439,0.000359921206761695,0.000587517669482473,0.00065929005194287,0.000584303459500452,0.00072422611624486,0.00057155943289423,0.00130720260894667,0.000955265920105392,0.000710899858116632,0.000148093520759379,0.00093697813993716,0.000319488026651745,-0.000544495895175737,0.00121114326566371,0.00089919271098145,0.000831181595503695,0.00102711115295001,0.000950186551329876,0.00119078764856115,0.000569343925949226,0.000283468549091383,0.00110996079898205,-0.00039759080373281,0.00103072831404154,0.000360144338607158,0.000817490900225577,0.000752435279592263,0.00153464030971197,-0.000131796135190097,0.00142177291409721,0.00137186231414415,0.000186006581878508,-0.000229854888313601,0.00135945315446452,0.000480663490369697,0.000554872608828287,0.000242603935355812,0.00136661579265077,0.000882584250349898,0.00123105483356504,0.00143304129891496,0.000806783315485206,5.73768448778585e-05,0.00117613705940217,0.000709666669100925,0.000835214061126514,0.000815866838714951,0.000832504175533974,-0.00131740639277565,0.00130560640934849,0.00116174712777842,0.00127531064251628,0.0010115924506849,0.00116833794952961,0.000926689943328599,0.000699277233389659,0.00150113609977312,0.0011318752998077,0.00109452997194109,0.000177481153995158,0.00103872586218126,0.000440443480029506,0.000578081469683846,0.000671814815096888,0.00149538626106004,0.000120621030630125,0.000728876539594779,0.00094157119251154,0.000848718887603748,0.000873426330566434,0.000672702992154938,0.000818151241791181,0.00035652139650918,0.00119909743643416,0.0014083136884916,0.00108659962084924,0.00101116475862804,0.000223297232293375,0.000724552398445689,0.000726598719254112,0.000549168396506824,0.00109570440101658,0.00137422241143117,0.000429493688321244,0.00128890459977654,0.0010908635812293,0.000804992692402677,0.000597543875065398,0.000673503975577647,0.000456256601674897,0.000475430997004505,0.00110530102661355,0.000304443640933818,-0.000349700850236832,0.00124502376485364,0.00127468603668226,0.000104276064571675,0.00108808071443924,0.00159338373218773,0.00184421965104299,0.000878825428255386,0.000848003954453863,0.00094213859161571,0.000439934500280953,0.00121664668561225,0.00106505929715969,0.000739444763326222,0.00205763098026117,0.000556949972319566
"PJP",0.00106515503966345,0.00140716172289648,0.0013071033837874,0.00140166950279106,0.00148827629715963,0.00127741512396047,0.00150751894596124,0.00123678006222155,0.00158909082349034,0.00135179085696816,0.00150326369540658,0.00129289695861723,0.00176145801656358,0.00134753238007554,-4.95852313013438e-05,0.00263461623533024,0.00106340417381315,0.000904823596047027,0.000464543111068303,0.00138048789754792,0.000913734258860571,0.000887423673792182,0.000900742538512917,0.000474735100004864,0.000575346687757053,0.00107741928224902,0.000568239813670035,0.000477034051709423,0.00179358399648109,0.000340403152209913,0.000655205044965798,0.000793023203536125,0.000805631629095938,0.00100595435997523,0.000655391816688794,0.00078473800969957,0.00137429954349003,0.00135204030110267,0.000393068807282347,0.000977939883631891,0.000777276029860141,0.000490100193662282,0.00120737730732292,0.00113589772243038,0.00111665517794745,0.00121132282588491,0.00134139552938819,0.00155378922101182,0.00101715853456275,0.000728529675363537,0.00123578216179327,0.000966213732522359,0.00148808070112487,0.000416634042048448,0.000680998567029966,0.000309007583829433,0.0010364151224983,0.000517691706344012,0.000192179512727547,0.000245323310413502,0.000468245777244285,0.000368980741457926,0.00076536404223005,0.000393803376359468,0.000550556587073904,0.000657157127429188,0.000780942974698456,0.00109110063146308,0.00109558455751246,0.0011348053099342,0.00115513988356142,1.70537967260039e-05,0.00110276734237652,0.000857576265215582,0.000956226567669821,0.001424301351235,0.000883407076122816,-0.00100010653110063,0.00142900870738708,0.00130903942073409,0.00144156602422833,0.0013808849890496,0.00130159832776228,0.000853999340790056,0.000904175002115694,0.00181963279598812,0.00111295964937735,0.000979294912449701,0.000145649780983017,0.00111972072731107,0.000385931385698186,0.000678474272359854,0.000590435266342999,0.00144335102081037,0.000449941443579679,0.000389935596549183,0.000980379547748927,0.00118385142286319,0.000855636909197365,0.000478885461711348,0.00122454510479756,0.000501133423313141,0.00124339322279914,0.00139332388122487,0.000957532423903533,0.00110377125257779,0.000415924245323464,0.00083018953803704,0.000772378496579557,0.000705554217274846,0.000506092871159377,0.00123424640789122,0.000827444161537997,0.00112750954457566,0.0010769700333777,0.000835922383400202,0.000991409479304707,0.000724651989101445,0.000586398819650385,0.000698652534393286,0.00136318854958493,0.000658575550345834,0.000644446444605382,0.00154819665930027,0.000887846530912624,0.000341979722749762,0.00136748363048172,0.00209741195364932,0.00216931199200864,0.000819842226063757,0.00101122835791134,0.000833337397821346,0.000831255034511832,0.00104208260305722,0.00152699170190682,0.000650290588760136,0.00178690617146072,0.00108485259395053
"IXJ",0.00078959781582486,0.00097121942539496,0.00154244152482311,0.0016822046853704,0.00100554373588279,0.00134980274663841,0.00123678006222155,0.00155113020041154,0.00134436662165593,0.00153583655335502,0.00187347665257228,0.00156832404773565,0.00189653117123807,0.00152956387414491,-0.000491503794398686,0.00271559815474955,0.00181419541041359,0.00135329596832839,0.000682331491403077,0.00148403396559728,0.00119470377168956,0.00117778041030386,0.00129066522490668,0.000914026806837541,0.00109557274930892,0.00113117345249197,0.00107776362745263,0.000805633248275596,0.00146952087705904,0.000807453188805907,0.00102294615022949,0.00112382342779786,0.00116355729251559,0.00130525365336243,0.000955853094421915,0.00121696665116774,0.0017348504076267,0.00164720962591995,0.000754982380416367,0.00132803146562499,0.00164009423768407,0.000629402299688725,0.00150017672470998,0.00125365008066612,0.00158413598681599,0.00172918628882741,0.00172138303917975,0.00151137278202182,0.00126698858279951,0.001173237308858,0.00172562220185388,0.0011706780276706,0.00132218494266151,0.000915890371710914,0.00108592507664411,0.000722465751617231,0.00181376677655542,0.00104070704223386,0.000667754649692153,0.000625755921372261,0.00103814694605382,0.000741191253607504,0.00115452791862426,0.000565650816195537,0.00116036813198758,0.00146474090825535,0.00120311618728983,0.00120034796519935,0.00145868237790861,0.00136225044498991,0.00130794934036812,0.000449523650704949,0.00120487303492101,0.000866812092526906,0.00107008107782785,0.00169754985651775,0.001315720483982,0.000304227413492961,0.00154587510956326,0.00124734132246519,0.00180113807038241,0.0017243100009089,0.00193075354175269,0.00146324530439174,0.000691116001706176,0.00199660741369952,0.00129438981926732,0.00128695292535406,0.000292601719875361,0.00154731326989223,0.000758860548980588,0.00110957921200249,0.00103875278270137,0.00149707827723176,0.00100618425130562,0.00107356182730284,0.00102741642307295,0.00118234605602353,0.000784525604151342,0.00112356831026445,0.00171289989315627,0.000792885319147031,0.00147670487689775,0.00138517242143331,0.00116002072762149,0.00136943785990009,0.000621221298930523,0.00104859575932745,0.00114340756444875,0.00104841623180988,0.00127394160560604,0.001693415715425,0.00140589454102044,0.00185061801389294,0.00177455553788944,0.00105375925583263,0.00129835872628575,0.00159046816139108,0.0010224268598794,0.0011413303981285,0.00152101303205704,0.000333485756622541,0.00029782887872182,0.00125402735570929,0.00142752830181829,0.00106413451882437,0.00157360535564773,0.00241516826372526,0.00246789518527103,0.00153738934850189,0.00132630467279297,0.00160917727467628,0.0010959845689278,0.00148239828598982,0.00166828343172979,0.000808476650419797,0.00206656414439115,0.00149378651042289
"XBI",0.00410624339338393,0.00329268659889951,0.00172209894336135,0.00235410834029702,0.00381579301767271,0.00155465211874038,0.00158909082349034,0.00134436662165593,0.00555914250263448,0.00201594314557608,0.00194113536177397,0.00164528114928134,0.0025464081498944,0.000319595502572669,-3.25432171344216e-05,0.00984557617787659,-1.92253064181325e-05,0.00324896738967961,2.45291542993473e-07,0.00187579959789708,0.000447772912155322,0.00109887317732087,0.000845407170653782,-1.16082963814635e-06,-0.000183069580439518,0.00102049446731073,-0.000192783209429728,5.52063164053913e-05,0.00251304464120146,-0.000240082854764574,0.000297297366934089,0.000862406826140766,0.000385349678155001,0.000762143115154591,0.00024626682610806,0.00172889373820785,0.00153494401039778,0.00163217546797249,0.000184509115838,0.000776401911213916,0.00420975324365907,0.00221977641578933,0.00236476524313831,0.00107816363222738,0.00319293970251675,0.0027973330201801,0.00355801926763337,0.00324233705265788,0.00132307797215264,0.00170225380044893,0.0038522558527409,0.00359824163686309,0.00305576467265864,0.00152108224024193,0.00310102882500716,0.00269501477228574,0.00197591056888478,0.00189862001948509,0.00378573144641311,0.00193538566275157,0.00216844235161122,0.00225298937213542,0.00286299009090832,0.00481924547378239,0.00221960867084677,0.00178072316457518,0.00106267868577907,0.00106314828501897,0.00111205199274701,0.00259023809158337,0.00212726500269533,0.000760018617757104,0.00148437995961656,0.00125325178098455,0.00292985500160145,0.00376836305918522,0.002888253120377,0.00173726883292108,0.00293977623221063,0.00246560483863408,0.00306638309401664,0.00268110660137629,0.00324729581053893,0.00284184282180381,0.00245302594352017,0.00347592148074481,0.00169030075772459,0.00168969931621237,3.76241943836342e-05,0.00201548756347351,0.000762608859082105,0.000341482223009119,0.00047284537564593,0.00361342199593495,0.000999827804598229,-0.000645512521079235,0.0021440150685891,0.00261192208223516,0.00257450250928069,0.00103363377714849,0.00253904090507168,0.00310145493403972,0.00177423088516,0.00195381660416097,0.0012245542256625,0.00209852164961215,0.00154447527883435,-7.12253824617294e-05,0.000707846227291904,0.00042738048520725,0.00143499357930875,0.00169727235711186,0.00033068181282095,0.00171812494808682,0.00139588700778845,0.00191848160151052,0.00297546080981742,0.00269377353898915,0.000870146113424021,0.00103479806782718,0.0024516311330626,0.00173647239608953,0.00434912741679389,0.00268716047606743,0.00198610482398494,0.00126590820392931,0.00199166167751567,0.00319952732909576,0.00306668655093119,0.000708825665472452,0.00134812915876121,0.00170991666923774,0.0021366471236481,0.00153344831867849,0.00265115973574422,0.00245419198145749,0.00277135107156574,0.00225467481209125
"FXH",0.00139533167499788,0.000996227973085904,0.00164386581258138,0.00163327121439829,0.00115694823101868,0.0013589694190664,0.00135179085696816,0.00153583655335502,0.00201594314557608,0.00206266116282944,0.0012726602830492,0.00178492544650825,0.00213875606474496,0.000973929225334412,-0.000405197250695934,0.00404835186098006,0.0015887338204093,0.00108106977836717,0.000611537125061339,0.00174302232503638,0.00107603307922675,0.00138821861426141,0.00118511973653818,0.000753270474741854,0.000681638945125668,0.0013434504306817,0.000873276447183481,0.000611817156741949,0.0018004085837776,0.000637862926828804,0.000863793859416804,0.00130978473964941,0.00114052547025754,0.00130937410623825,0.000970178133233044,0.00173984358852782,0.00175124405618696,0.00175365632434111,0.000785849023232958,0.00125782160452903,0.00226774719845695,0.00129259402404088,0.00200138464568209,0.00171779864062262,0.00215371983113092,0.00210279506822139,0.00248777956346551,0.00226944480087868,0.0016918588105603,0.00191222113495745,0.00268642409976706,0.00222449378206794,0.00247015410329819,0.00111571138828436,0.0014750367838423,0.0012078405199633,0.00199325745832558,0.00153259465645732,0.000930629422188388,0.0011004170042995,0.00133447272876549,0.00124448165664631,0.00145391915841813,0.00130013321550112,0.00175151696620913,0.00194448548567724,0.00134673096164036,0.00143202828653368,0.00120876948379752,0.00208275904660342,0.00158034818845039,0.000787079232454794,0.0018156095159422,0.00137051791073195,0.00204036797808179,0.00253863246403196,0.0021206203393881,-2.50624669515067e-05,0.00224926923425544,0.00206571704850477,0.00242285797689265,0.0025697831021532,0.00279343395520088,0.00215896202499167,0.00138778822224064,0.00270574493668386,0.00173013172331709,0.00189069857236332,0.000164510041144466,0.00180314414469685,0.000774961010997098,0.00142939900352242,0.0013633651928433,0.00262855417230743,0.00117120718455643,0.00143350148902494,0.00191641387111014,0.00232959752155579,0.00170979372476476,0.00116591742638278,0.00228860484413854,0.0015827914036619,0.00193286202537969,0.00195516717426703,0.00152222082618539,0.0018150398749467,0.00165336984521945,0.00110738716290999,0.001225501198023,0.00105622176207516,0.00187571792097539,0.00215677696239521,0.00153619103648019,0.00208908646990379,0.00221033093217458,0.00169073167550624,0.00228671613926988,0.00214752717812758,0.00156966748464399,0.00163363506163497,0.00223411878310291,0.000938855057399813,0.00210307338768744,0.00189280665069509,0.00202762790154408,0.00138931967836307,0.00222171615364064,0.00315175312418876,0.00319487204950499,0.00163203622795032,0.00186419409963403,0.00200483952032391,0.00176738689666119,0.00173994831060873,0.00211483843325317,0.00187219410789693,0.00237840203994125,0.00243037423802386
